# generation power_min power_avg power_max util_min util_avg util_max
1 32.205481 32.989419 34.202368 0.551251 0.567887 0.582968
10 32.205481 32.876201 33.570302 0.555722 0.569234 0.582968
20 31.772074 32.750331 33.339160 0.560744 0.571158 0.586197
30 31.772074 32.646685 33.178919 0.562097 0.572635 0.586197
40 31.772074 32.555932 33.093397 0.563518 0.573714 0.586197
50 31.656629 32.462175 32.948441 0.564960 0.574943 0.586197
60 31.559268 32.369767 32.853440 0.567191 0.576292 0.586197
70 31.478632 32.284708 32.758770 0.567191 0.577180 0.586197
80 31.302514 32.201194 32.629728 0.569339 0.578250 0.587788
90 31.144643 32.114379 32.553789 0.570675 0.579367 0.590951
100 31.144643 32.026784 32.489051 0.570675 0.580525 0.590951
110 31.144643 31.948547 32.383015 0.571472 0.581314 0.591346
120 31.144643 31.876697 32.302489 0.574055 0.582154 0.591346
130 31.144643 31.798863 32.206287 0.576554 0.582816 0.591617
140 31.078375 31.723339 32.131360 0.576554 0.583381 0.591617
150 31.078375 31.638314 32.089753 0.576616 0.584517 0.592414
160 30.835844 31.557833 32.016960 0.577100 0.585315 0.594905
170 30.835844 31.492940 31.900023 0.578083 0.586012 0.594905
180 30.835844 31.424099 31.782354 0.581170 0.586890 0.598173
190 30.783864 31.357168 31.739745 0.581477 0.587800 0.598173
200 30.700256 31.279908 31.684984 0.581477 0.588776 0.598633
210 30.647839 31.212349 31.601909 0.581477 0.589846 0.598633
220 30.647839 31.147107 31.539057 0.581766 0.590883 0.598633
230 30.647839 31.083679 31.418378 0.581766 0.591875 0.600242
240 30.619014 31.018128 31.321253 0.586211 0.592965 0.600242
250 30.619014 30.965345 31.276440 0.586211 0.593790 0.600242
260 30.619014 30.912679 31.233187 0.588187 0.594597 0.600242
270 30.551672 30.858910 31.171686 0.588559 0.595413 0.600423
280 30.293862 30.801614 31.134166 0.589403 0.596240 0.601817
290 30.244724 30.752435 31.076782 0.590924 0.597031 0.601817
300 30.244724 30.715255 30.971614 0.592101 0.597527 0.601817
310 30.244724 30.680749 30.871854 0.593054 0.598040 0.603192
320 30.244724 30.650845 30.835844 0.594702 0.598466 0.603192
330 30.244724 30.618408 30.783864 0.594702 0.598948 0.603192
340 30.244724 30.587713 30.745121 0.595441 0.599294 0.603385
350 30.244724 30.562379 30.670378 0.596054 0.599536 0.603385
360 30.244724 30.536382 30.670378 0.596054 0.599771 0.603385
370 30.225527 30.505441 30.647839 0.596054 0.600087 0.603385
380 30.129965 30.473375 30.647839 0.596054 0.600388 0.603385
390 30.129965 30.434906 30.628642 0.597191 0.600762 0.603385
400 30.129965 30.401103 30.564503 0.598727 0.601102 0.603385
410 30.086686 30.369335 30.564503 0.598727 0.601385 0.605826
420 30.086686 30.335753 30.549812 0.598727 0.601671 0.605826
430 30.086686 30.304220 30.543897 0.598727 0.601888 0.605826
440 30.086686 30.274304 30.456882 0.599713 0.602166 0.605826
450 30.086686 30.251107 30.414116 0.600408 0.602330 0.605826
460 30.086686 30.228110 30.365587 0.600408 0.602405 0.605826
470 30.086686 30.214069 30.250583 0.601766 0.602585 0.605826
480 30.086686 30.210129 30.244724 0.601766 0.602703 0.605826
490 30.086686 30.202426 30.244724 0.601766 0.602825 0.605826
500 30.086686 30.190995 30.244724 0.601766 0.603026 0.605826
510 30.086686 30.177935 30.244724 0.601766 0.603269 0.605826
520 30.086686 30.165826 30.225527 0.602812 0.603487 0.605826
530 30.086686 30.155062 30.225527 0.602812 0.603610 0.605826
540 30.086686 30.143856 30.225527 0.602812 0.603713 0.605826
550 30.086686 30.130793 30.225527 0.602812 0.603951 0.605826
560 30.086686 30.117342 30.225527 0.602812 0.604190 0.605826
570 30.086686 30.108048 30.168790 0.602812 0.604464 0.605826
580 30.086686 30.102032 30.129965 0.602850 0.604730 0.605826
590 30.086686 30.097705 30.129965 0.602850 0.605028 0.605826
600 30.029950 30.092809 30.129965 0.602850 0.605322 0.605826
610 30.029950 30.088481 30.129965 0.602850 0.605620 0.605826
620 30.029950 30.086119 30.086686 0.605497 0.605823 0.605826
630 30.029950 30.086119 30.086686 0.605497 0.605823 0.605826
640 30.029950 30.086119 30.086686 0.605497 0.605823 0.605826
650 30.029950 30.086119 30.086686 0.605497 0.605823 0.605826
660 30.029950 30.084984 30.086686 0.605497 0.605816 0.605826
670 30.029950 30.083850 30.086686 0.605497 0.605810 0.605826
680 30.029950 30.083850 30.086686 0.605497 0.605810 0.605826
690 30.029950 30.083850 30.086686 0.605497 0.605810 0.605826
700 30.029950 30.083850 30.086686 0.605497 0.605810 0.605826
710 30.029950 30.082715 30.086686 0.605497 0.605803 0.605826
720 30.029950 30.082147 30.086686 0.605497 0.605800 0.605826
730 30.029950 30.080445 30.086686 0.605497 0.605790 0.605826
740 30.029950 30.077609 30.086686 0.605497 0.605773 0.605826
750 30.029950 30.074204 30.086686 0.605497 0.605754 0.605826
760 30.029950 30.072502 30.086686 0.605497 0.605744 0.605826
770 30.029950 30.067396 30.086686 0.605497 0.605714 0.605826
780 30.029950 30.063424 30.086686 0.605497 0.605691 0.605826
790 30.029950 30.058318 30.086686 0.605497 0.605662 0.605826
800 30.029950 30.052644 30.086686 0.605497 0.605629 0.605826
810 30.029950 30.046971 30.086686 0.605497 0.605596 0.605826
