Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.5 CPU_Frequency_0.25 CPU_Frequency_0.125
0.05 Tovs 1.78 .05 .20 1.43 .15 .67 16.86 22.47 27.87 32.80 
0.05 Offloading 3.04 0 1.40 1.48 .16 .71 100.00 0 0 0 
0.05 DVFS 2.20 .15 .70 1.49 0 0 12.58 20.63 29.24 37.55 
0.05 Nothing 4.13 .03 2.41 1.72 0 0 100.00 0 0 0 
0.1 Tovs 2.41 .14 .46 1.46 .49 .72 15.45 22.61 27.67 34.27 
0.1 Offloading 4.13 .02 1.95 1.65 .52 .77 100.00 0 0 0 
0.1 DVFS 3.51 .48 1.91 1.59 0 0 9.43 18.34 30.12 42.11 
0.1 Nothing 6.99 .09 5.23 1.75 0 0 100.00 0 0 0 
0.15 Tovs 3.07 .24 .67 1.58 .82 .74 14.69 21.71 28.88 34.72 
0.15 Offloading 5.02 .03 2.35 1.75 .90 .80 100.00 0 0 0 
0.15 DVFS 4.71 .83 3.04 1.67 0 0 7.98 16.99 29.59 45.44 
0.15 Nothing 9.77 .15 8.04 1.73 0 0 100.00 0 0 0 
0.2 Tovs 3.68 .33 .84 1.64 1.19 .75 14.60 20.50 29.22 35.68 
0.2 Offloading 5.89 .03 2.73 1.84 1.30 .82 100.00 0 0 0 
0.2 DVFS 6.58 1.00 4.81 1.77 0 0 9.07 23.15 37.08 30.70 
0.2 Nothing 12.63 .22 10.92 1.71 0 0 100.00 0 0 0 
0.25 Tovs 4.33 .41 1.01 1.78 1.54 .76 14.39 20.97 27.39 37.25 
0.25 Offloading 6.66 .04 3.05 1.91 1.70 .83 100.00 0 0 0 
0.25 DVFS 9.03 .99 7.21 1.81 0 0 13.18 32.41 39.88 14.53 
0.25 Nothing 15.45 .28 13.74 1.71 0 0 100.00 0 0 0 
0.3 Tovs 4.94 .51 1.23 1.82 1.89 .76 14.28 20.05 28.70 36.97 
0.3 Offloading 7.57 .05 3.39 2.07 2.10 .84 100.00 0 0 0 
0.3 DVFS 12.21 .99 9.86 2.35 0 0 21.33 34.92 37.23 6.52 
0.3 Nothing 18.31 .34 16.58 1.72 0 0 100.00 0 0 0 
0.35 Tovs 5.55 .61 1.36 1.93 2.25 .77 13.11 19.17 28.74 38.98 
0.35 Offloading 8.57 .06 3.85 2.24 2.48 .84 100.00 0 0 0 
0.35 DVFS 15.40 .99 12.74 2.66 0 0 27.67 41.25 27.18 3.90 
0.35 Nothing 21.15 .41 19.42 1.72 0 0 100.00 0 0 0 
0.4 Tovs 6.14 .66 1.48 2.03 2.62 .78 13.40 19.85 29.14 37.61 
0.4 Offloading 9.27 .06 4.11 2.27 2.88 .85 100.00 0 0 0 
0.4 DVFS 18.64 .99 15.72 2.92 0 0 37.32 37.99 22.64 2.05 
