Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.5 CPU_Frequency_0.25 CPU_Frequency_0.125
0.1 CO-DMO-CT 2.67 .16 .61 1.57 .48 .53 12.00 21.00 35.00 32.00 
0.1 CO-DMO 3.80 .21 1.17 2.50 .13 .16 14.00 18.00 40.00 28.00 
0.1 Offloading 5.87 .05 3.40 2.34 .12 .16 100.00 0 0 0 
0.1 DVS 3.52 .29 1.30 2.22 0 0 7.00 25.00 32.00 36.00 
0.1 Baseline 5.47 .06 3.72 1.75 0 0 100.00 0 0 0 
0.2 CO-DMO-CT 5.50 .50 1.54 2.35 1.59 .58 12.00 21.00 32.00 35.00 
0.2 CO-DMO 7.34 .78 3.48 3.61 .24 .13 15.00 16.00 34.00 35.00 
0.2 Offloading 12.73 .16 8.27 4.04 .41 .18 100.00 0 0 0 
0.2 DVS 5.74 1.00 3.57 2.17 0 0 6.00 15.00 36.00 43.00 
0.2 Baseline 12.02 .19 9.56 2.46 0 0 100.00 0 0 0 
0.3 CO-DMO-CT 6.55 .81 2.16 1.71 2.67 .58 10.00 15.00 35.00 40.00 
0.3 CO-DMO 10.66 1.00 6.90 3.25 .51 .14 20.00 24.00 34.00 22.00 
0.3 Offloading 15.86 .25 12.30 2.91 .64 .19 100.00 0 0 0 
0.3 DVS 10.55 .98 8.20 2.35 0 0 13.00 38.00 40.00 9.00 
0.3 Baseline 17.34 .31 14.95 2.39 0 0 100.00 0 0 0 
0.4 CO-DMO-CT 9.54 .97 3.36 2.40 3.77 .58 12.00 21.00 34.00 33.00 
0.4 CO-DMO 16.56 1.01 11.27 4.31 .96 .19 31.00 33.00 25.00 11.00 
0.4 Offloading 22.10 .38 18.18 3.27 .65 .15 100.00 0 0 0 
0.4 DVS 17.58 1.00 14.20 3.37 0 0 33.00 39.00 23.00 5.00 
0.4 Baseline 22.37 .42 20.23 2.14 0 0 100.00 0 0 0 
0.5 CO-DMO-CT 11.59 .99 3.60 2.72 5.25 .67 16.00 22.00 35.00 27.00 
0.5 CO-DMO 20.21 1.01 14.39 4.18 1.63 .26 28.00 40.00 24.00 8.00 
0.5 Offloading 28.09 .49 23.73 3.54 .81 .10 100.00 0 0 0 
0.5 DVS 24.03 1.00 20.95 3.08 0 0 54.00 31.00 14.00 1.00 
0.5 Baseline 29.97 .58 27.30 2.66 0 0 100.00 0 0 0 
0.6 CO-DMO-CT 14.49 .93 4.27 2.25 7.96 .73 17.00 23.00 40.00 20.00 
0.6 CO-DMO 31.00 1.04 25.19 5.75 .04 .01 62.00 24.00 13.00 1.00 
0.6 Offloading 33.73 .61 29.23 3.79 .70 .09 100.00 0 0 0 
0.6 DVS 30.98 1.00 27.82 3.16 0 0 69.00 22.00 9.00 0 
0.6 Baseline 33.48 .68 31.50 1.97 0 0 100.00 0 0 0 
0.7 CO-DMO-CT 14.25 .99 3.57 2.55 8.12 .78 17.00 26.00 34.00 23.00 
0.7 CO-DMO 36.29 1.00 32.18 4.11 0 0 76.00 17.00 7.00 0 
0.7 Offloading 35.94 .67 31.74 3.06 1.13 .15 100.00 0 0 0 
0.7 DVS 37.08 1.00 34.41 2.67 0 0 76.00 24.00 0 0 
0.7 Baseline 40.05 .82 37.83 2.21 0 0 100.00 0 0 0 
0.8 CO-DMO-CT 22.84 .99 8.34 3.57 10.92 .69 26.00 33.00 26.00 15.00 
0.8 CO-DMO 46.77 .99 42.24 4.52 0 0 93.00 6.00 1.00 0 
0.8 Offloading 44.30 .80 38.13 4.98 1.17 .13 100.00 0 0 0 
0.8 DVS 45.57 1.00 41.30 4.26 0 0 91.00 9.00 0 0 
0.8 Baseline 45.27 .92 42.64 2.62 0 0 100.00 0 0 0 
0.9 CO-DMO-CT 39.96 .38 18.58 6.71 14.66 .64 96.00 3.00 1.00 0 
0.9 CO-DMO 53.13 1.00 47.50 5.62 0 0 100.00 0 0 0 
0.9 Offloading 50.01 .95 44.53 4.27 1.20 .09 100.00 0 0 0 
0.9 DVS 53.06 .99 47.56 5.49 0 0 100.00 0 0 0 
0.9 Baseline 49.90 .99 46.51 3.39 0 0 100.00 0 0 0 
