Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.5 CPU_Frequency_0.25 CPU_Frequency_0.125
0.1 CO-DMO-CT 2.65 .16 .72 1.49 .42 .48 12.00 26.00 31.00 31.00 
0.1 CO-DMO 3.16 .22 1.32 1.71 .12 .19 19.00 23.00 30.00 28.00 
0.1 Offloading 6.42 .05 3.35 2.90 .16 .20 100.00 0 0 0 
0.1 DVS 3.54 .31 1.26 2.27 0 0 10.00 18.00 34.00 38.00 
0.1 Baseline 5.89 .06 3.85 2.04 0 0 100.00 0 0 0 
0.2 CO-DMO-CT 4.85 .44 1.39 1.92 1.52 .60 12.00 24.00 28.00 36.00 
0.2 CO-DMO 6.96 .76 3.44 3.20 .31 .18 10.00 25.00 27.00 38.00 
0.2 Offloading 11.56 .16 8.52 2.74 .28 .14 100.00 0 0 0 
0.2 DVS 5.71 .99 3.45 2.25 0 0 5.00 14.00 38.00 43.00 
0.2 Baseline 12.03 .19 9.67 2.36 0 0 100.00 0 0 0 
0.3 CO-DMO-CT 7.15 .80 2.54 2.45 2.14 .55 12.00 21.00 38.00 29.00 
0.3 CO-DMO 10.78 1.01 7.07 3.00 .69 .14 17.00 28.00 31.00 24.00 
0.3 Offloading 16.37 .25 12.66 3.09 .62 .19 100.00 0 0 0 
0.3 DVS 10.40 1.00 8.34 2.05 0 0 16.00 34.00 39.00 11.00 
0.3 Baseline 17.69 .32 15.43 2.26 0 0 100.00 0 0 0 
0.4 CO-DMO-CT 8.57 .99 2.88 2.17 3.51 .63 14.00 14.00 34.00 38.00 
0.4 CO-DMO 14.23 1.00 9.71 3.65 .86 .21 27.00 29.00 32.00 12.00 
0.4 Offloading 22.56 .39 18.84 3.31 .41 .09 100.00 0 0 0 
0.4 DVS 17.96 .99 14.94 3.02 0 0 36.00 41.00 19.00 4.00 
0.4 Baseline 22.09 .42 20.04 2.05 0 0 100.00 0 0 0 
0.5 CO-DMO-CT 11.42 .97 4.62 2.39 4.41 .63 14.00 23.00 39.00 24.00 
0.5 CO-DMO 20.02 1.01 12.52 5.49 2.00 .29 32.00 36.00 21.00 11.00 
0.5 Offloading 27.50 .47 22.63 3.76 1.10 .16 100.00 0 0 0 
0.5 DVS 23.52 1.00 20.26 3.26 0 0 47.00 36.00 17.00 0 
0.5 Baseline 27.97 .55 25.86 2.10 0 0 100.00 0 0 0 
0.6 CO-DMO-CT 13.73 1.00 3.57 2.92 7.23 .76 21.00 23.00 27.00 29.00 
0.6 CO-DMO 32.99 .99 28.82 4.16 0 0 75.00 14.00 11.00 0 
0.6 Offloading 33.23 .59 28.32 3.71 1.20 .14 100.00 0 0 0 
0.6 DVS 30.03 1.00 27.43 2.60 0 0 63.00 31.00 6.00 0 
0.6 Baseline 33.18 .67 31.25 1.93 0 0 100.00 0 0 0 
0.7 CO-DMO-CT 15.90 .97 4.03 2.70 9.16 .76 12.00 26.00 39.00 23.00 
0.7 CO-DMO 35.11 1.00 31.79 3.31 0 0 75.00 20.00 5.00 0 
0.7 Offloading 37.13 .68 32.29 3.43 1.40 .13 100.00 0 0 0 
0.7 DVS 36.38 1.00 32.33 4.05 0 0 73.00 23.00 4.00 0 
0.7 Baseline 40.69 .85 39.14 1.55 0 0 100.00 0 0 0 
0.8 CO-DMO-CT 22.46 .99 10.92 2.69 8.83 .67 35.00 33.00 27.00 5.00 
0.8 CO-DMO 42.07 .99 39.07 2.99 0 0 90.00 8.00 2.00 0 
0.8 Offloading 42.37 .82 38.27 3.20 .88 .11 100.00 0 0 0 
0.8 DVS 45.08 1.00 40.61 4.47 0 0 90.00 9.00 1.00 0 
0.8 Baseline 44.60 .92 42.48 2.12 0 0 100.00 0 0 0 
0.9 CO-DMO-CT 24.46 .89 9.04 2.97 12.44 .75 34.00 31.00 21.00 14.00 
0.9 CO-DMO 49.96 .99 46.18 3.78 0 0 99.00 1.00 0 0 
0.9 Offloading 49.08 .94 43.85 3.69 1.53 .14 100.00 0 0 0 
0.9 DVS 52.36 .99 46.99 5.37 0 0 99.00 1.00 0 0 
0.9 Baseline 51.50 .99 47.08 4.41 0 0 100.00 0 0 0 
