Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.5 CPU_Frequency_0.25 CPU_Frequency_0.125
0.1 CO-DMO-CT 1.88 .15 .51 .92 .45 .56 13.00 20.00 35.00 32.00 
0.1 CO-DMO 3.70 .23 1.13 2.42 .14 .17 14.00 23.00 28.00 35.00 
0.1 Offloading 5.34 .05 3.37 1.84 .12 .18 100.00 0 0 0 
0.1 DVS 3.53 .27 1.45 2.08 0 0 11.00 27.00 29.00 33.00 
0.1 Baseline 5.73 .06 3.75 1.98 0 0 100.00 0 0 0 
0.2 CO-DMO-CT 4.46 .56 1.81 1.29 1.36 .51 10.00 20.00 31.00 39.00 
0.2 CO-DMO 7.27 .69 3.43 3.46 .38 .18 17.00 20.00 32.00 31.00 
0.2 Offloading 11.60 .15 8.19 3.05 .34 .15 100.00 0 0 0 
0.2 DVS 5.79 1.00 3.71 2.07 0 0 7.00 16.00 39.00 38.00 
0.2 Baseline 11.78 .19 9.64 2.14 0 0 100.00 0 0 0 
0.3 CO-DMO-CT 5.98 .78 2.68 1.49 1.80 .55 15.00 14.00 36.00 35.00 
0.3 CO-DMO 10.46 1.00 7.19 2.82 .43 .14 18.00 30.00 32.00 20.00 
0.3 Offloading 16.50 .25 12.65 3.35 .49 .18 100.00 0 0 0 
0.3 DVS 10.77 .98 8.46 2.30 0 0 15.00 39.00 37.00 9.00 
0.3 Baseline 17.19 .31 15.13 2.06 0 0 100.00 0 0 0 
0.4 CO-DMO-CT 8.82 .98 3.32 2.09 3.41 .60 7.00 18.00 40.00 35.00 
0.4 CO-DMO 15.91 1.00 10.95 4.34 .61 .15 25.00 36.00 29.00 10.00 
0.4 Offloading 21.87 .37 17.89 3.36 .62 .13 100.00 0 0 0 
0.4 DVS 17.18 1.00 14.45 2.72 0 0 30.00 44.00 23.00 3.00 
0.4 Baseline 21.82 .41 19.84 1.98 0 0 100.00 0 0 0 
0.5 CO-DMO-CT 10.97 .99 4.16 1.95 4.85 .64 14.00 23.00 33.00 30.00 
0.5 CO-DMO 17.20 1.01 12.11 3.60 1.47 .26 25.00 38.00 26.00 11.00 
0.5 Offloading 28.08 .49 23.48 3.63 .96 .15 100.00 0 0 0 
0.5 DVS 24.33 1.00 21.19 3.13 0 0 52.00 33.00 14.00 1.00 
0.5 Baseline 28.59 .56 26.23 2.35 0 0 100.00 0 0 0 
0.6 CO-DMO-CT 14.98 .98 4.65 2.71 7.61 .72 18.00 24.00 38.00 20.00 
0.6 CO-DMO 30.48 1.00 26.08 4.14 .24 .03 65.00 23.00 10.00 2.00 
0.6 Offloading 32.92 .59 28.11 3.55 1.25 .16 100.00 0 0 0 
0.6 DVS 30.74 .99 27.64 3.09 0 0 66.00 27.00 7.00 0 
0.6 Baseline 34.26 .71 32.86 1.40 0 0 100.00 0 0 0 
0.7 CO-DMO-CT 17.63 .99 5.76 2.97 8.89 .70 17.00 29.00 36.00 18.00 
0.7 CO-DMO 38.79 .99 34.34 4.44 0 0 80.00 16.00 4.00 0 
0.7 Offloading 37.18 .68 32.10 3.72 1.35 .16 100.00 0 0 0 
0.7 DVS 37.07 .99 33.65 3.42 0 0 80.00 15.00 5.00 0 
0.7 Baseline 38.95 .80 37.21 1.74 0 0 100.00 0 0 0 
0.8 CO-DMO-CT 19.71 1.00 6.55 2.13 11.02 .73 24.00 30.00 27.00 19.00 
0.8 CO-DMO 44.10 .99 40.60 3.49 0 0 89.00 11.00 0 0 
0.8 Offloading 40.45 .73 34.28 3.70 2.45 .21 100.00 0 0 0 
0.8 DVS 42.57 1.00 38.90 3.66 0 0 86.00 14.00 0 0 
0.8 Baseline 45.08 .93 42.89 2.18 0 0 100.00 0 0 0 
0.9 CO-DMO-CT 24.95 .97 9.56 3.17 12.21 .73 29.00 32.00 26.00 13.00 
0.9 CO-DMO 52.30 .99 46.37 5.93 0 0 98.00 2.00 0 0 
0.9 Offloading 46.00 .88 41.32 3.31 1.36 .11 100.00 0 0 0 
0.9 DVS 55.08 1.00 47.70 7.37 0 0 99.00 1.00 0 0 
0.9 Baseline 53.27 1.00 47.69 5.57 0 0 100.00 0 0 0 
