Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.5 CPU_Frequency_0.25 CPU_Frequency_0.125
0.1 CO-DMO-CT 1.67 .12 .35 1.24 .07 .72 13.00 15.00 32.00 40.00 
0.1 CO-DMO 1.90 .18 .74 1.11 .04 .42 11.00 26.00 36.00 27.00 
0.1 Offloading 4.15 .02 2.33 1.76 .04 .55 100.00 0 0 0 
0.1 DVS 3.35 .29 1.37 1.98 0 0 11.00 18.00 37.00 34.00 
0.1 Baseline 5.72 .06 3.85 1.86 0 0 100.00 0 0 0 
0.2 CO-DMO-CT 2.84 .29 .82 1.73 .28 .76 11.00 16.00 39.00 34.00 
0.2 CO-DMO 4.31 .73 2.36 1.88 .06 .29 10.00 19.00 33.00 38.00 
0.2 Offloading 6.33 .07 4.23 1.94 .15 .63 100.00 0 0 0 
0.2 DVS 6.20 .99 3.76 2.43 0 0 7.00 16.00 36.00 41.00 
0.2 Baseline 11.15 .18 9.13 2.02 0 0 100.00 0 0 0 
0.3 CO-DMO-CT 3.28 .68 1.45 1.39 .44 .73 11.00 23.00 29.00 37.00 
0.3 CO-DMO 5.58 .93 2.84 2.58 .15 .49 12.00 18.00 29.00 41.00 
0.3 Offloading 9.39 .12 6.79 2.35 .24 .60 100.00 0 0 0 
0.3 DVS 11.65 .99 9.21 2.43 0 0 20.00 36.00 35.00 9.00 
0.3 Baseline 17.03 .31 14.94 2.09 0 0 100.00 0 0 0 
0.4 CO-DMO-CT 4.06 .74 1.52 1.96 .57 .78 8.00 17.00 29.00 46.00 
0.4 CO-DMO 7.05 1.02 4.51 2.26 .26 .53 20.00 19.00 36.00 25.00 
0.4 Offloading 12.55 .20 10.22 2.04 .28 .55 100.00 0 0 0 
0.4 DVS 16.94 1.00 14.06 2.88 0 0 33.00 36.00 29.00 2.00 
0.4 Baseline 22.57 .43 20.33 2.23 0 0 100.00 0 0 0 
0.5 CO-DMO-CT 5.24 .79 2.01 2.53 .70 .81 13.00 21.00 38.00 28.00 
0.5 CO-DMO 8.86 1.02 5.66 2.83 .36 .55 13.00 30.00 44.00 13.00 
0.5 Offloading 14.40 .24 12.22 1.78 .39 .60 100.00 0 0 0 
0.5 DVS 22.41 1.00 19.26 3.14 0 0 41.00 45.00 13.00 1.00 
0.5 Baseline 27.72 .54 25.46 2.26 0 0 100.00 0 0 0 
0.6 CO-DMO-CT 6.05 .85 2.45 2.45 1.13 .83 13.00 21.00 39.00 27.00 
0.6 CO-DMO 10.79 1.05 8.30 2.00 .48 .56 20.00 33.00 36.00 11.00 
0.6 Offloading 17.58 .30 14.64 2.41 .51 .60 100.00 0 0 0 
0.6 DVS 30.17 .99 26.90 3.26 0 0 66.00 24.00 10.00 0 
0.6 Baseline 32.50 .66 30.60 1.90 0 0 100.00 0 0 0 
0.7 CO-DMO-CT 7.31 .85 2.68 3.39 1.23 .85 12.00 27.00 36.00 25.00 
0.7 CO-DMO 10.68 1.09 6.54 3.39 .74 .65 14.00 29.00 43.00 14.00 
0.7 Offloading 20.48 .35 17.17 2.74 .56 .60 100.00 0 0 0 
0.7 DVS 39.32 1.00 36.57 2.74 0 0 83.00 15.00 2.00 0 
0.7 Baseline 38.90 .81 37.36 1.53 0 0 100.00 0 0 0 
0.8 CO-DMO-CT 10.17 .98 5.35 3.41 1.39 .78 30.00 24.00 28.00 18.00 
0.8 CO-DMO 16.53 1.06 11.70 3.98 .84 .62 47.00 25.00 20.00 8.00 
0.8 Offloading 21.91 .37 17.95 3.20 .75 .63 100.00 0 0 0 
0.8 DVS 44.57 .99 40.49 4.08 0 0 89.00 10.00 1.00 0 
0.8 Baseline 45.36 .93 43.04 2.31 0 0 100.00 0 0 0 
0.9 CO-DMO-CT 13.54 .92 7.16 4.86 1.51 .78 37.00 22.00 30.00 11.00 
0.9 CO-DMO 20.73 1.06 17.20 2.74 .77 .53 42.00 28.00 23.00 7.00 
0.9 Offloading 22.09 .39 18.92 2.36 .79 .64 100.00 0 0 0 
0.9 DVS 49.97 .99 45.75 4.21 0 0 98.00 2.00 0 0 
0.9 Baseline 49.88 1.00 46.52 3.36 0 0 100.00 0 0 0 
