Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.5 CPU_Frequency_0.25 CPU_Frequency_0.125
0.1 CO-DMO-CT 1.99 .17 .46 1.36 .16 .76 12.33 17.66 28.33 41.66 
0.1 CO-DMO 2.31 .17 .50 1.65 .15 .74 14.00 20.66 35.00 30.33 
0.1 Offloading 3.49 .02 1.96 1.35 .17 .81 100.00 0 0 0 
0.1 DVS 3.94 .56 2.34 1.60 0 0 9.33 19.00 31.66 40.00 
0.1 Baseline 7.61 .11 6.02 1.58 0 0 100.00 0 0 0 
0.2 CO-DMO-CT 2.65 .36 .75 1.53 .37 .79 13.33 18.00 29.66 39.00 
0.2 CO-DMO 2.87 .32 .92 1.61 .33 .77 12.66 20.66 29.33 37.33 
0.2 Offloading 4.90 .03 2.47 2.01 .41 .86 100.00 0 0 0 
0.2 DVS 7.24 .99 5.35 1.88 0 0 9.66 22.00 44.66 23.66 
0.2 Baseline 13.47 .24 11.81 1.65 0 0 100.00 0 0 0 
0.3 CO-DMO-CT 3.47 .52 1.26 1.65 .56 .78 13.33 17.33 30.00 39.33 
0.3 CO-DMO 3.49 .48 1.12 1.84 .52 .79 15.33 19.66 29.00 36.00 
0.3 Offloading 6.33 .06 3.74 2.03 .55 .83 100.00 0 0 0 
0.3 DVS 12.78 .99 10.61 2.16 0 0 20.00 39.33 36.00 4.66 
0.3 Baseline 19.40 .36 17.49 1.91 0 0 100.00 0 0 0 
0.4 CO-DMO-CT 4.19 .57 1.62 1.85 .72 .81 16.33 15.33 32.33 36.00 
0.4 CO-DMO 3.99 .56 1.43 1.86 .69 .80 13.00 20.66 35.33 31.00 
0.4 Offloading 7.15 .08 4.63 1.71 .79 .84 100.00 0 0 0 
0.4 DVS 18.53 1.00 15.44 3.09 0 0 36.33 39.00 22.33 2.33 
0.4 Baseline 25.23 .50 23.62 1.60 0 0 100.00 0 0 0 
0.5 CO-DMO-CT 4.56 .64 1.83 1.79 .93 .81 11.66 23.66 32.66 32.00 
0.5 CO-DMO 4.34 .63 1.47 1.92 .93 .85 17.66 19.33 26.33 36.66 
0.5 Offloading 7.86 .07 4.51 2.28 1.06 .89 100.00 0 0 0 
0.5 DVS 24.84 1.00 22.25 2.59 0 0 55.33 31.66 12.66 .33 
0.5 Baseline 30.68 .62 28.95 1.73 0 0 100.00 0 0 0 
0.6 CO-DMO-CT 6.06 .82 2.28 2.58 1.19 .82 22.66 18.00 28.66 30.66 
0.6 CO-DMO 5.75 .71 1.82 2.80 1.13 .85 17.66 18.33 32.33 31.66 
0.6 Offloading 9.21 .10 5.77 2.23 1.20 .86 100.00 0 0 0 
0.6 DVS 33.97 .99 30.32 3.64 0 0 70.66 24.66 4.33 .33 
0.6 Baseline 35.98 .73 34.18 1.79 0 0 100.00 0 0 0 
0.7 CO-DMO-CT 5.77 .60 2.10 2.28 1.39 .87 18.00 29.00 30.33 22.66 
0.7 CO-DMO 6.05 .85 2.53 2.16 1.36 .82 18.00 24.00 31.00 27.00 
0.7 Offloading 10.50 .11 6.43 2.70 1.36 .87 100.00 0 0 0 
0.7 DVS 40.25 .99 36.35 3.90 0 0 82.66 14.66 2.66 0 
0.7 Baseline 41.77 .88 40.56 1.20 0 0 100.00 0 0 0 
0.8 CO-DMO-CT 7.43 .82 3.71 2.12 1.59 .82 19.66 26.66 31.00 22.66 
0.8 CO-DMO 6.64 .70 2.74 2.25 1.64 .85 23.66 21.33 27.33 27.66 
0.8 Offloading 11.28 .13 7.23 2.39 1.65 .86 100.00 0 0 0 
0.8 DVS 48.69 .99 44.23 4.45 0 0 95.00 5.00 0 0 
0.8 Baseline 46.37 .98 44.89 1.48 0 0 100.00 0 0 0 
0.9 CO-DMO-CT 11.16 .96 7.17 2.33 1.65 .74 30.33 29.33 26.33 14.00 
0.9 CO-DMO 10.65 .87 6.29 2.77 1.58 .77 25.00 30.00 24.66 20.33 
0.9 Offloading 11.94 .14 7.46 2.58 1.89 .87 100.00 0 0 0 
0.9 DVS 55.62 1.01 49.23 6.39 0 0 100.00 0 0 0 
0.9 Baseline 54.21 .99 48.24 5.96 0 0 100.00 0 0 0 
