# generation power_min power_avg power_max util_min util_avg util_max
1 42.581095 42.581095 42.581095 1.270339 1.472476 1.499437
10 41.947083 25.870519 41.947083 0.854018 1.441794 1.499437
20 41.558768 32.608469 41.558768 0.854018 1.416284 1.498968
30 41.558768 29.089599 41.558768 0.597881 1.366585 1.498968
40 41.558768 28.427635 41.558768 0.597881 1.323425 1.497695
50 41.558768 27.706181 41.558768 0.597881 1.287117 1.497695
60 41.427645 26.899609 41.427645 0.597881 1.239880 1.497695
70 41.427645 26.425071 41.427645 0.597881 1.191994 1.496004
80 40.437878 26.247418 40.437878 0.597881 1.151348 1.496004
90 39.346419 25.693047 39.346419 0.597881 1.105731 1.493881
100 32.455918 24.911758 32.455918 0.597881 1.059553 1.483081
110 32.455918 24.718647 32.455918 0.597881 1.011675 1.436193
120 30.900732 24.299857 30.900732 0.597881 0.985272 1.329477
130 30.084829 23.798751 30.084829 0.597881 0.963425 1.307649
140 27.402733 23.397570 27.402733 0.597881 0.942295 1.207251
150 26.245871 22.918177 26.245871 0.597881 0.932445 1.102898
160 25.595258 22.443986 25.595258 0.597881 0.938495 1.102898
170 24.634917 22.060524 24.634917 0.657144 0.942747 1.099598
180 23.837068 21.746238 23.837068 0.625718 0.930745 1.058042
190 23.284177 21.430850 23.284177 0.625718 0.923971 1.058042
200 22.986737 21.097641 22.986737 0.624452 0.919215 1.058042
210 18.625945 20.751789 22.542603 0.624452 0.917020 1.058042
220 17.414030 20.418006 22.182909 0.624452 0.911632 1.058042
230 17.414030 20.163512 21.848316 0.624452 0.906166 1.041768
240 17.414030 19.869591 21.461752 0.611268 0.898065 1.041768
250 17.414030 19.623756 21.019969 0.611268 0.894688 1.041768
260 17.414030 19.349657 20.632801 0.611268 0.892173 1.041768
270 17.350507 19.131344 20.351560 0.611268 0.884116 1.041768
280 17.314511 18.962095 20.129265 0.611268 0.879446 1.026462
290 17.060753 18.757697 19.976779 0.611268 0.879134 1.026462
300 16.506091 18.552314 19.717611 0.611268 0.867748 1.016669
310 16.402239 18.330736 19.523324 0.611268 0.856845 1.016669
320 15.836722 18.079845 19.149448 0.611268 0.853414 1.015029
330 15.818561 17.896458 19.005497 0.526397 0.838653 1.015029
340 15.818561 17.665249 18.798371 0.510991 0.823047 1.015029
350 15.569008 17.436767 18.607403 0.510991 0.819499 1.015029
360 15.569008 17.217533 18.456646 0.510991 0.809589 1.015029
370 15.188709 17.017615 18.279472 0.510991 0.808092 1.015029
