Server_Power,Network,Workload,Section,Power,Util,CPU_Power,Memory_Power,Network_Power,Offloading_Ratio,CPU_Frequency_1,CPU_Frequency_0.5,CPU_Frequency_0.25,CPU_Frequency_0.125
2,30,0.9,CO-DMO-CT,50.967935,0.998777,47.7226,3.245335,0.0,0.0,80,0,0,0
2,30,0.9,CO-DMO,50.967935,0.998777,47.7226,3.245335,0.0,0.0,80,0,0,0
2,30,0.9,Offloading,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,30,0.9,DVS,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,30,0.9,Baseline,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,40,0.9,CO-DMO-CT,50.967935,0.998777,47.7226,3.245335,0.0,0.0,80,0,0,0
2,40,0.9,CO-DMO,50.967935,0.998777,47.7226,3.245335,0.0,0.0,80,0,0,0
2,40,0.9,Offloading,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,40,0.9,DVS,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,40,0.9,Baseline,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,50,0.9,CO-DMO-CT,50.967935,0.998777,47.7226,3.245335,0.0,0.0,80,0,0,0
2,50,0.9,CO-DMO,50.967935,0.998777,47.7226,3.245335,0.0,0.0,80,0,0,0
2,50,0.9,Offloading,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,50,0.9,DVS,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,50,0.9,Baseline,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,60,0.9,CO-DMO-CT,50.967935,0.998777,47.7226,3.245335,0.0,0.0,80,0,0,0
2,60,0.9,CO-DMO,50.967935,0.998777,47.7226,3.245335,0.0,0.0,80,0,0,0
2,60,0.9,Offloading,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,60,0.9,DVS,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,60,0.9,Baseline,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,70,0.9,CO-DMO-CT,50.967935,0.998777,47.7226,3.245335,0.0,0.0,80,0,0,0
2,70,0.9,CO-DMO,50.967935,0.998777,47.7226,3.245335,0.0,0.0,80,0,0,0
2,70,0.9,Offloading,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,70,0.9,DVS,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,70,0.9,Baseline,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,80,0.9,CO-DMO-CT,50.967935,0.998777,47.7226,3.245335,0.0,0.0,80,0,0,0
2,80,0.9,CO-DMO,50.967935,0.998777,47.7226,3.245335,0.0,0.0,80,0,0,0
2,80,0.9,Offloading,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,80,0.9,DVS,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,80,0.9,Baseline,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,90,0.9,CO-DMO-CT,50.967935,0.998777,47.7226,3.245335,0.0,0.0,80,0,0,0
2,90,0.9,CO-DMO,50.967935,0.998777,47.7226,3.245335,0.0,0.0,80,0,0,0
2,90,0.9,Offloading,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,90,0.9,DVS,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,90,0.9,Baseline,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,100,0.9,CO-DMO-CT,50.967935,0.998777,47.7226,3.245335,0.0,0.0,80,0,0,0
2,100,0.9,CO-DMO,50.967935,0.998777,47.7226,3.245335,0.0,0.0,80,0,0,0
2,100,0.9,Offloading,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,100,0.9,DVS,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,100,0.9,Baseline,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,110,0.9,CO-DMO-CT,50.967935,0.998777,47.7226,3.245335,0.0,0.0,80,0,0,0
2,110,0.9,CO-DMO,50.967935,0.998777,47.7226,3.245335,0.0,0.0,80,0,0,0
2,110,0.9,Offloading,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,110,0.9,DVS,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,110,0.9,Baseline,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,120,0.9,CO-DMO-CT,50.967935,0.998777,47.7226,3.245335,0.0,0.0,80,0,0,0
2,120,0.9,CO-DMO,50.967935,0.998777,47.7226,3.245335,0.0,0.0,80,0,0,0
2,120,0.9,Offloading,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,120,0.9,DVS,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,120,0.9,Baseline,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
