# generation power_min power_avg power_max util_min util_avg util_max
1 49.510486 49.510486 49.510486 1.133966 1.474225 1.499747
100 50.074834 45.141864 50.074834 0.605609 1.075455 1.499172
200 40.473305 42.166608 43.667004 0.731742 0.926732 1.008689
300 38.876504 39.905034 40.658384 0.835180 0.944724 1.000406
400 38.347101 38.852977 39.210329 0.880639 0.957592 1.003612
500 37.454364 38.150180 38.487806 0.895594 0.965606 1.009870
600 37.160835 37.451122 37.802003 0.954543 0.988542 1.003145
700 36.982081 37.111475 37.249445 0.986215 0.996676 0.999729
800 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
900 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
1000 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
1100 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
1200 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
1300 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
1400 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
1500 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
1600 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
1700 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
1800 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
1900 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
2000 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
2100 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
2200 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
2300 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
2400 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
2500 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
2600 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
2700 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
2800 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
2900 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
3000 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
3100 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
3200 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
3300 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
3400 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
3500 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
3600 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
3700 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
3800 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
3900 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
4000 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
4100 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
4200 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
4300 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
4400 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
4500 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
4600 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
4700 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
4800 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
4900 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
5000 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
5100 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
5200 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
5300 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
5400 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
5500 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
5600 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
5700 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
5800 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
5900 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
6000 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
6100 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
6200 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
6300 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
6400 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
6500 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
6600 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
6700 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
6800 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
6900 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
7000 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
7100 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
7200 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
7300 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
7400 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
7500 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
7600 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
7700 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
7800 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
7900 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
8000 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
8100 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
8200 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
8300 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
8400 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
8500 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
8600 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
8700 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
8800 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
8900 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
9000 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
9100 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
9200 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
9300 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
9400 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
9500 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
9600 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
9700 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
9800 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
9900 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
10000 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
10100 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
10200 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
10300 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
10400 36.982081 36.982081 36.982081 0.999615 0.999615 0.999615
