# generation power_min power_avg power_max util_min util_avg util_max
1 7.595184 9.374883 11.276097 0.469626 0.681383 1.021600
100 6.432545 7.689802 8.470955 0.470719 0.680400 0.931310
200 5.263179 6.166894 6.902102 0.385446 0.581752 0.797412
300 4.578658 5.163487 5.673716 0.312628 0.559233 0.797412
400 3.715231 4.279538 4.749423 0.277192 0.443965 0.697067
500 3.326413 3.656768 3.901253 0.274684 0.331392 0.407693
600 3.067200 3.311112 3.498773 0.274684 0.345873 0.395450
700 2.921068 3.049092 3.158765 0.319257 0.363592 0.400929
800 2.895606 2.925087 2.958269 0.356232 0.384591 0.392657
900 2.887335 2.900357 2.912405 0.373277 0.379431 0.391449
1000 2.887335 2.889076 2.895606 0.374121 0.377214 0.377965
1100 2.887335 2.887471 2.887878 0.377845 0.377935 0.377965
1200 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
1300 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
1400 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
1500 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
1600 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
1700 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
1800 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
1900 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
2000 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
2100 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
2200 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
2300 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
2400 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
2500 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
2600 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
2700 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
2800 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
2900 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
3000 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
3100 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
3200 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
3300 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
3400 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
3500 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
3600 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
3700 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
3800 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
3900 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
4000 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
4100 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
4200 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
4300 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
4400 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
4500 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
4600 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
4700 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
4800 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
4900 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
5000 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
5100 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
5200 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
5300 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
5400 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
5500 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
5600 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
5700 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
5800 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
5900 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
6000 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
6100 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
6200 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
6300 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
6400 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
6500 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
6600 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
6700 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
6800 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
6900 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
7000 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
7100 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
7200 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
7300 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
7400 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
7500 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
7600 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
7700 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
7800 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
7900 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
8000 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
8100 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
8200 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
8300 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
8400 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
8500 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
8600 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
8700 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
8800 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
8900 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
9000 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
9100 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
9200 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
9300 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
9400 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
9500 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
9600 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
9700 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
9800 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
9900 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
10000 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
10100 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
10200 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
10300 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
10400 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
10500 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
10600 2.887335 2.887335 2.887335 0.377965 0.377965 0.377965
