# generation power_min power_avg power_max util_min util_avg util_max
1 -nan -nan -nan 1.412386 1.483554 1.499799
100 -nan -nan -nan 1.320930 1.481882 1.499799
200 -nan -nan -nan 1.412386 1.483511 1.499799
300 -nan -nan -nan 1.412386 1.483299 1.499799
400 -nan -nan -nan 1.412386 1.483337 1.499799
500 -nan -nan -nan 1.360948 1.482282 1.499799
600 -nan -nan -nan 1.269751 1.481370 1.499799
700 -nan -nan -nan 1.412386 1.482912 1.499799
800 -nan -nan -nan 1.412386 1.483023 1.499799
900 -nan -nan -nan 1.239119 1.481064 1.499799
1000 -nan -nan -nan 1.412386 1.483431 1.499799
1100 -nan -nan -nan 1.412386 1.483311 1.499799
1200 -nan -nan -nan 1.412386 1.483031 1.499799
1300 -nan -nan -nan 1.404415 1.482717 1.499799
1400 -nan -nan -nan 1.412386 1.482836 1.499799
1500 -nan -nan -nan 1.400676 1.482679 1.499799
1600 -nan -nan -nan 1.362631 1.482299 1.499799
1700 -nan -nan -nan 1.412386 1.483606 1.499799
1800 -nan -nan -nan 1.412386 1.483182 1.499799
1900 -nan -nan -nan 1.412386 1.483216 1.499799
2000 -nan -nan -nan 1.412386 1.483481 1.499799
2100 -nan -nan -nan 1.412386 1.483650 1.499799
2200 -nan -nan -nan 1.412386 1.483473 1.499799
2300 -nan -nan -nan 1.412386 1.483405 1.499799
2400 -nan -nan -nan 1.353211 1.482205 1.499799
2500 -nan -nan -nan 1.412386 1.483208 1.499799
2600 -nan -nan -nan 1.412386 1.482987 1.499799
2700 -nan -nan -nan 1.412386 1.483430 1.499799
2800 -nan -nan -nan 1.412386 1.483210 1.499799
2900 -nan -nan -nan 1.412386 1.483648 1.499799
3000 -nan -nan -nan 1.412386 1.483663 1.499799
3100 -nan -nan -nan 1.412386 1.483537 1.499799
3200 -nan -nan -nan 1.357584 1.482248 1.499799
3300 -nan -nan -nan 1.387799 1.482551 1.499799
3400 -nan -nan -nan 1.412386 1.483630 1.499799
3500 -nan -nan -nan 1.412386 1.483618 1.499799
3600 -nan -nan -nan 1.412386 1.483475 1.499799
3700 -nan -nan -nan 1.303264 1.481705 1.499799
3800 -nan -nan -nan 1.412386 1.483191 1.499799
3900 -nan -nan -nan 1.412386 1.483042 1.499799
4000 -nan -nan -nan 1.412386 1.483277 1.499799
4100 -nan -nan -nan 1.412386 1.483457 1.499799
4200 -nan -nan -nan 1.412386 1.483381 1.499799
4300 -nan -nan -nan 1.360328 1.482276 1.499799
4400 -nan -nan -nan 1.412386 1.483082 1.499799
4500 -nan -nan -nan 1.380791 1.482480 1.499799
4600 -nan -nan -nan 1.412386 1.483318 1.499799
4700 -nan -nan -nan 1.255318 1.481226 1.499799
4800 -nan -nan -nan 1.412386 1.483497 1.499799
4900 -nan -nan -nan 1.412386 1.483628 1.499799
5000 -nan -nan -nan 1.412386 1.483541 1.499799
5100 -nan -nan -nan 1.412386 1.483327 1.499799
5200 -nan -nan -nan 1.181677 1.480489 1.499799
5300 -nan -nan -nan 1.412386 1.483443 1.499799
5400 -nan -nan -nan 1.412386 1.483577 1.499799
5500 -nan -nan -nan 1.412386 1.483023 1.499799
5600 -nan -nan -nan 1.412386 1.483042 1.499799
5700 -nan -nan -nan 1.412386 1.483037 1.499799
5800 -nan -nan -nan 1.412386 1.483120 1.499799
5900 -nan -nan -nan 1.412386 1.483269 1.499799
6000 -nan -nan -nan 1.412386 1.483605 1.499799
6100 -nan -nan -nan 1.412386 1.483671 1.499894
6200 -nan -nan -nan 1.412386 1.483488 1.499799
6300 -nan -nan -nan 1.412386 1.483291 1.499799
6400 -nan -nan -nan 1.412386 1.483348 1.499799
6500 -nan -nan -nan 1.392622 1.482599 1.499799
6600 -nan -nan -nan 1.319259 1.481865 1.499799
6700 -nan -nan -nan 1.361794 1.482290 1.499799
6800 -nan -nan -nan 1.251556 1.481188 1.499799
6900 -nan -nan -nan 1.397813 1.482651 1.499799
7000 -nan -nan -nan 1.412386 1.483359 1.499799
7100 -nan -nan -nan 1.412386 1.483286 1.499799
7200 -nan -nan -nan 1.412386 1.483354 1.499799
7300 -nan -nan -nan 1.412386 1.482820 1.499799
7400 -nan -nan -nan 1.412386 1.482811 1.499799
7500 -nan -nan -nan 1.197334 1.480646 1.499799
7600 -nan -nan -nan 1.404432 1.482717 1.499799
7700 -nan -nan -nan 1.412386 1.483406 1.499799
7800 -nan -nan -nan 1.412386 1.482919 1.499799
7900 -nan -nan -nan 1.412386 1.483198 1.499799
8000 -nan -nan -nan 1.364922 1.482322 1.499799
8100 -nan -nan -nan 1.377105 1.482444 1.499799
8200 -nan -nan -nan 1.378551 1.482458 1.499799
8300 -nan -nan -nan 1.327731 1.481950 1.499799
8400 -nan -nan -nan 1.283094 1.481503 1.499799
8500 -nan -nan -nan 1.412386 1.483288 1.499799
8600 -nan -nan -nan 1.412386 1.483215 1.499799
8700 -nan -nan -nan 1.412386 1.483603 1.499799
8800 -nan -nan -nan 1.412386 1.483652 1.499799
8900 -nan -nan -nan 1.412386 1.483536 1.499799
9000 -nan -nan -nan 1.412386 1.483457 1.499799
9100 -nan -nan -nan 1.412386 1.483584 1.499799
9200 -nan -nan -nan 1.368697 1.482360 1.499799
9300 -nan -nan -nan 1.328408 1.481957 1.499799
9400 -nan -nan -nan 1.412386 1.483636 1.499799
9500 -nan -nan -nan 1.412386 1.483025 1.499799
9600 -nan -nan -nan 1.412386 1.483397 1.499799
9700 -nan -nan -nan 1.412386 1.483547 1.499799
9800 -nan -nan -nan 1.369209 1.482365 1.499799
9900 -nan -nan -nan 1.412386 1.483542 1.499799
10000 -nan -nan -nan 1.412386 1.483388 1.499799
10100 -nan -nan -nan 1.412386 1.483234 1.499799
10200 -nan -nan -nan 1.412386 1.483648 1.499799
10300 -nan -nan -nan 1.412386 1.483417 1.499799
10400 -nan -nan -nan 1.342675 1.482099 1.499799
10500 -nan -nan -nan 1.412386 1.483621 1.499799
10600 -nan -nan -nan 1.412386 1.482800 1.499799
10700 -nan -nan -nan 1.267898 1.481352 1.499799
10800 -nan -nan -nan 1.412386 1.483220 1.499799
10900 -nan -nan -nan 1.412386 1.483441 1.499799
11000 -nan -nan -nan 1.412386 1.483477 1.499799
11100 -nan -nan -nan 1.412386 1.483514 1.499799
11200 -nan -nan -nan 1.412386 1.483184 1.499799
11300 -nan -nan -nan 1.412386 1.482888 1.499799
11400 -nan -nan -nan 1.412386 1.483474 1.499799
11500 -nan -nan -nan 1.412386 1.483075 1.499799
11600 -nan -nan -nan 1.412386 1.483496 1.499799
11700 -nan -nan -nan 1.412386 1.483663 1.499799
11800 -nan -nan -nan 1.412386 1.483042 1.499799
11900 -nan -nan -nan 1.412386 1.483342 1.499799
12000 -nan -nan -nan 1.412386 1.483634 1.499799
12100 -nan -nan -nan 1.412386 1.483130 1.499799
12200 -nan -nan -nan 1.256744 1.481240 1.499799
12300 -nan -nan -nan 1.412386 1.483495 1.499799
12400 -nan -nan -nan 1.154882 1.480221 1.499799
12500 -nan -nan -nan 1.378662 1.482459 1.499799
12600 -nan -nan -nan 1.412386 1.483350 1.499799
12700 -nan -nan -nan 1.412386 1.483629 1.499799
12800 -nan -nan -nan 1.277544 1.481448 1.499799
12900 -nan -nan -nan 1.412386 1.483657 1.499799
13000 -nan -nan -nan 1.337863 1.482051 1.499799
13100 -nan -nan -nan 1.333964 1.482012 1.499799
13200 -nan -nan -nan 1.412386 1.483181 1.499799
13300 -nan -nan -nan 1.299288 1.481665 1.499799
13400 -nan -nan -nan 1.412386 1.483638 1.499799
13500 -nan -nan -nan 1.412386 1.483465 1.499799
13600 -nan -nan -nan 1.412386 1.482935 1.499799
13700 -nan -nan -nan 1.365139 1.482324 1.499799
13800 -nan -nan -nan 1.267006 1.481343 1.499799
13900 -nan -nan -nan 1.412386 1.483404 1.499799
14000 -nan -nan -nan 1.412386 1.483451 1.499799
14100 -nan -nan -nan 1.411296 1.482785 1.499799
14200 -nan -nan -nan 1.412386 1.483320 1.499799
14300 -nan -nan -nan 1.310926 1.481782 1.499799
14400 -nan -nan -nan 1.412386 1.483147 1.499799
14500 -nan -nan -nan 1.412386 1.483213 1.499799
14600 -nan -nan -nan 1.198014 1.480653 1.499799
14700 -nan -nan -nan 1.412386 1.482863 1.499799
14800 -nan -nan -nan 1.412386 1.483512 1.499799
14900 -nan -nan -nan 1.412386 1.483406 1.499799
15000 -nan -nan -nan 1.412386 1.483647 1.499799
15100 -nan -nan -nan 1.412386 1.483170 1.499799
15200 -nan -nan -nan 1.412386 1.483584 1.499799
15300 -nan -nan -nan 1.412386 1.482878 1.499799
15400 -nan -nan -nan 1.358753 1.482260 1.499799
15500 -nan -nan -nan 1.412386 1.483596 1.499799
15600 -nan -nan -nan 1.412386 1.483490 1.499799
15700 -nan -nan -nan 1.412386 1.483327 1.499799
15800 -nan -nan -nan 1.412386 1.483667 1.499799
15900 -nan -nan -nan 1.343715 1.482110 1.499799
16000 -nan -nan -nan 1.323255 1.481905 1.499799
16100 -nan -nan -nan 1.282677 1.481499 1.499799
16200 -nan -nan -nan 1.412386 1.483100 1.499799
16300 -nan -nan -nan 1.370058 1.482373 1.499799
16400 -nan -nan -nan 1.412386 1.483527 1.499799
16500 -nan -nan -nan 1.217549 1.480848 1.499799
16600 -nan -nan -nan 1.315562 1.481828 1.499799
16700 -nan -nan -nan 1.391450 1.482587 1.499799
16800 -nan -nan -nan 1.412386 1.483620 1.499799
16900 -nan -nan -nan 1.412386 1.483538 1.499799
17000 -nan -nan -nan 1.382418 1.482497 1.499799
17100 -nan -nan -nan 1.412386 1.483221 1.499799
17200 -nan -nan -nan 1.220399 1.480877 1.499799
17300 -nan -nan -nan 1.350301 1.482176 1.499799
17400 -nan -nan -nan 1.283528 1.481508 1.499799
17500 -nan -nan -nan 1.391991 1.482592 1.499799
17600 -nan -nan -nan 1.326506 1.481938 1.499799
17700 -nan -nan -nan 1.412386 1.483071 1.499799
17800 -nan -nan -nan 1.350394 1.482176 1.499799
17900 -nan -nan -nan 1.412386 1.483622 1.499799
18000 -nan -nan -nan 1.412386 1.483214 1.499799
18100 -nan -nan -nan 1.412386 1.483588 1.499799
18200 -nan -nan -nan 1.412386 1.482986 1.499799
18300 -nan -nan -nan 1.184357 1.480516 1.499799
18400 -nan -nan -nan 1.412386 1.483577 1.499799
18500 -nan -nan -nan 1.357780 1.482250 1.499799
18600 -nan -nan -nan 1.412386 1.483386 1.499799
18700 -nan -nan -nan 1.412386 1.483187 1.499799
18800 -nan -nan -nan 1.412386 1.482968 1.499799
18900 -nan -nan -nan 1.372534 1.482398 1.499799
19000 -nan -nan -nan 1.412386 1.483344 1.499799
19100 -nan -nan -nan 1.412386 1.483473 1.499799
19200 -nan -nan -nan 1.412386 1.483161 1.499799
19300 -nan -nan -nan 1.412386 1.482866 1.499799
19400 -nan -nan -nan 1.412386 1.483659 1.499799
19500 -nan -nan -nan 1.412386 1.483381 1.499799
19600 -nan -nan -nan 1.390431 1.482577 1.499799
19700 -nan -nan -nan 1.412386 1.483402 1.499799
19800 -nan -nan -nan 1.412386 1.483340 1.499799
19900 -nan -nan -nan 1.360236 1.482275 1.499799
