# generation power_min power_avg power_max util_min util_avg util_max
1 17.453671 14.355933 17.453671 0.731598 1.126739 1.494655
100 10.159511 12.217708 13.759487 0.619479 0.892112 1.048269
200 8.633712 10.176563 11.162016 0.591316 0.801601 1.021765
300 7.697433 8.669821 9.398882 0.604364 0.759417 0.970299
400 7.212129 7.780285 8.201227 0.614825 0.779002 0.954160
500 6.888763 7.187624 7.474483 0.737955 0.801741 0.861185
600 6.564754 6.796432 6.966555 0.751355 0.828549 0.868309
700 6.431401 6.550152 6.637163 0.779340 0.831256 0.868721
800 6.419028 6.445202 6.464046 0.804847 0.815732 0.868721
900 6.354369 6.425650 6.435219 0.804847 0.813666 0.868721
1000 6.354144 6.381439 6.418522 0.810171 0.812830 0.869193
1100 6.354144 6.354209 6.354369 0.811054 0.811389 0.811526
1200 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
1300 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
1400 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
1500 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
1600 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
1700 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
1800 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
1900 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
2000 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
2100 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
2200 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
2300 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
2400 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
2500 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
2600 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
2700 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
2800 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
2900 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
3000 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
3100 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
3200 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
3300 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
3400 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
3500 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
3600 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
3700 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
3800 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
3900 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
4000 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
4100 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
4200 6.354144 6.354144 6.354144 0.811526 0.811526 0.811526
