# generation power_min power_avg power_max util_min util_avg util_max
1 5.478975 6.493349 7.768357 0.193602 0.281819 0.424635
100 4.461289 5.358119 5.966420 0.178042 0.265054 0.358877
200 3.897095 4.464821 4.894678 0.168224 0.247175 0.342728
300 3.153385 3.766262 4.162095 0.156812 0.234023 0.340154
400 2.720438 3.160817 3.394466 0.161902 0.223464 0.271758
500 2.575219 2.757944 2.950140 0.186599 0.219162 0.254943
600 2.232857 2.533652 2.669283 0.186333 0.233839 0.266793
700 2.088594 2.256042 2.414753 0.199588 0.251980 0.266566
800 2.061347 2.120281 2.168050 0.241074 0.251883 0.265136
900 2.061347 2.068872 2.073256 0.246979 0.247703 0.249907
1000 2.061156 2.062504 2.066787 0.248318 0.249522 0.249907
1100 2.061156 2.061295 2.061347 0.249653 0.249838 0.249907
1200 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
1300 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
1400 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
1500 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
1600 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
1700 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
1800 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
1900 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
2000 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
2100 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
2200 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
2300 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
2400 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
2500 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
2600 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
2700 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
2800 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
2900 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
3000 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
3100 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
3200 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
3300 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
3400 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
3500 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
3600 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
3700 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
3800 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
3900 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
4000 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
4100 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
4200 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
4300 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
4400 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
4500 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
4600 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
4700 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
4800 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
4900 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
5000 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
5100 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
5200 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
5300 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
5400 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
5500 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
5600 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
5700 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
5800 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
5900 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
6000 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
6100 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
6200 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
6300 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
6400 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
6500 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
6600 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
6700 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
6800 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
6900 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
7000 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
7100 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
7200 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
7300 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
7400 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
7500 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
7600 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
7700 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
7800 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
7900 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
8000 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
8100 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
8200 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
8300 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
8400 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
8500 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
8600 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
8700 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
8800 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
8900 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
9000 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
9100 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
9200 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
9300 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
9400 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
9500 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
9600 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
9700 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
9800 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
9900 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
10000 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
10100 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
10200 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
10300 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
10400 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
10500 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
10600 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
10700 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
10800 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
10900 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
11000 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
11100 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
11200 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
11300 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
11400 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
11500 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
11600 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
11700 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
11800 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
11900 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
12000 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
12100 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
12200 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
12300 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
12400 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
12500 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
12600 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
12700 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
12800 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
12900 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
13000 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
13100 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
13200 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
13300 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
13400 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
13500 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
13600 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
13700 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
13800 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
13900 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
14000 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
14100 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
14200 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
14300 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
14400 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
14500 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
14600 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
14700 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
14800 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
14900 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
15000 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
15100 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
15200 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
15300 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
15400 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
15500 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
15600 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
15700 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
15800 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
15900 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
16000 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
16100 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
16200 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
16300 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
16400 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
16500 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
16600 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
16700 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
16800 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
16900 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
17000 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
17100 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
17200 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
17300 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
17400 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
17500 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
17600 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
17700 2.061156 2.061156 2.061156 0.249653 0.249653 0.249653
