# generation power_min power_avg power_max util_min util_avg util_max
1 49.219204 49.219204 49.219204 1.357867 1.477208 1.499590
100 51.167625 24.527053 51.167625 0.638825 1.140150 1.499387
200 22.371697 18.933105 22.371697 0.638825 0.895206 1.103211
300 10.970757 14.183819 16.466863 0.598566 0.895117 1.089623
400 8.987045 10.953852 12.430348 0.575829 0.814629 1.018095
500 8.272310 9.002919 9.725936 0.636211 0.816054 0.976349
600 7.698904 8.194143 8.537482 0.747649 0.884541 1.000141
700 7.121480 7.518813 7.820589 0.795952 0.935225 1.002813
800 6.658043 6.985233 7.202899 0.807712 0.928359 1.008511
900 6.486267 6.660320 6.804718 0.807712 0.834294 0.929260
1000 6.427218 6.522809 6.559528 0.816178 0.828149 0.852307
1100 6.427218 6.452751 6.486267 0.816178 0.842599 0.852307
1200 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
1300 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
1400 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
1500 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
1600 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
1700 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
1800 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
1900 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
2000 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
2100 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
2200 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
2300 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
2400 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
2500 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
2600 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
2700 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
2800 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
2900 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
3000 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
3100 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
3200 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
3300 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
3400 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
3500 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
3600 6.427218 6.427218 6.427218 0.835047 0.835047 0.835047
