# generation power_min power_avg power_max util_min util_avg util_max
1 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
100 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
200 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
300 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
400 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
500 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
600 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
700 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
800 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
900 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
1000 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
1100 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
1200 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
1300 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
1400 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
1500 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
1600 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
1700 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
1800 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
1900 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
2000 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
2100 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
2200 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
2300 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
2400 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
2500 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
2600 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
2700 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
2800 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
2900 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
3000 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
3100 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
3200 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
3300 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
3400 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
3500 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
3600 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
3700 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
3800 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
3900 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
4000 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
4100 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
4200 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
4300 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
4400 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
4500 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
4600 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
4700 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
4800 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
4900 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
5000 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
5100 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
5200 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
5300 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
5400 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
5500 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
5600 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
5700 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
5800 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
5900 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
6000 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
6100 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
6200 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
6300 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
6400 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
6500 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
6600 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
6700 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
6800 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
6900 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
7000 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
7100 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
7200 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
7300 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
7400 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
7500 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
7600 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
7700 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
7800 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
7900 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
8000 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
8100 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
8200 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
8300 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
8400 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
8500 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
8600 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
8700 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
8800 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
8900 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
9000 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
9100 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
9200 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
9300 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
9400 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
9500 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
9600 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
9700 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
9800 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
9900 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
10000 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
10100 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
10200 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
10300 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
10400 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
10500 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
10600 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
10700 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
10800 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
10900 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
11000 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
11100 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
11200 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
11300 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
11400 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
11500 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
11600 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
11700 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
11800 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
11900 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
12000 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
12100 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
12200 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
12300 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
12400 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
12500 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
12600 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
12700 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
12800 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
12900 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
13000 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
13100 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
13200 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
13300 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
13400 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
13500 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
13600 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
13700 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
13800 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
13900 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
14000 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
14100 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
14200 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
14300 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
14400 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
14500 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
14600 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
14700 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
14800 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
14900 38.233190 38.233190 38.233190 0.599992 0.599992 0.599992
