Server_Power,Network,Workload,Section,Power,Util,CPU_Power,Memory_Power,Network_Power,Offloading_Ratio,CPU_Frequency_1,CPU_Frequency_0.5,CPU_Frequency_0.25,CPU_Frequency_0.125
4,10,0.7,CO-DMO-CT,2.787596,0.353906,1.03604,1.488438,0.263119,0.7625,13,15,23,29
4,10,0.7,CO-DMO,4.599202,0.535036,2.013287,2.339933,0.245982,0.7,12,19,26,23
4,10,0.7,Offloading,15.767267,0.141475,8.003005,7.533668,0.230595,0.65,80,0,0,0
4,10,0.7,DVS,38.598044,0.998757,31.064122,7.533921,0.0,0.0,53,21,5,1
4,10,0.7,Baseline,43.183139,0.699989,35.649471,7.533668,0.0,0.0,80,0,0,0
4,100,0.7,CO-DMO-CT,2.787596,0.353906,1.03604,1.488438,0.263119,0.7625,13,15,23,29
4,100,0.7,CO-DMO,4.599202,0.535036,2.013287,2.339933,0.245982,0.7,12,19,26,23
4,100,0.7,Offloading,15.767267,0.141475,8.003005,7.533668,0.230595,0.65,80,0,0,0
4,100,0.7,DVS,38.598044,0.998757,31.064122,7.533921,0.0,0.0,53,21,5,1
4,100,0.7,Baseline,43.183139,0.699989,35.649471,7.533668,0.0,0.0,80,0,0,0
