Server_Power,Network,Workload,Section,Power,Util,CPU_Power,Memory_Power,Network_Power,Offloading_Ratio,CPU_Frequency_1,CPU_Frequency_0.5,CPU_Frequency_0.25,CPU_Frequency_0.125
2,10,0.1,CO-DMO-CT,2.501949,0.333273,0.642173,1.431882,0.427894,0.5875,15,9,20,36
2,10,0.1,CO-DMO,2.559872,0.426739,1.071997,1.172605,0.31527,0.45,12,14,22,32
2,10,0.1,Offloading,9.773958,0.014163,1.70107,7.533119,0.539769,0.7375,80,0,0,0
2,10,0.1,DVS,9.559578,0.799169,2.025813,7.533765,0.0,0.0,4,6,20,50
2,10,0.1,Baseline,14.720604,0.125,7.187485,7.533119,0.0,0.0,80,0,0,0
2,10,0.3,CO-DMO-CT,3.907109,0.525184,1.152379,1.594906,1.159824,0.65,9,20,13,38
2,10,0.3,CO-DMO,4.897484,0.998556,2.271318,1.837534,0.788632,0.475,10,14,24,32
2,10,0.3,Offloading,11.511281,0.033991,2.682556,7.533286,1.295439,0.7375,80,0,0,0
2,10,0.3,DVS,15.932699,0.999227,8.398733,7.533965,0.0,0.0,9,34,26,11
2,10,0.3,Baseline,23.383182,0.299998,15.849895,7.533286,0.0,0.0,80,0,0,0
2,10,0.5,CO-DMO-CT,5.419762,0.634558,1.275572,2.071294,2.072896,0.6875,10,15,22,33
2,10,0.5,CO-DMO,7.482143,1.011249,3.755657,2.245127,1.48136,0.5375,18,15,28,19
2,10,0.5,Offloading,13.496774,0.056651,3.80424,7.533477,2.159056,0.7375,80,0,0,0
2,10,0.5,DVS,26.609947,0.99454,19.075996,7.533952,0.0,0.0,36,26,17,1
2,10,0.5,Baseline,33.283201,0.499994,25.749724,7.533477,0.0,0.0,80,0,0,0
2,10,0.7,CO-DMO-CT,7.286116,0.770846,2.06774,2.318622,2.899755,0.6875,8,20,29,23
2,10,0.7,CO-DMO,8.345555,1.004189,3.497802,2.37663,2.471123,0.6375,16,19,28,17
2,10,0.7,Offloading,16.292661,0.097496,5.82604,7.533668,2.932953,0.7125,80,0,0,0
2,10,0.7,DVS,38.598044,0.998757,31.064122,7.533921,0.0,0.0,53,21,5,1
2,10,0.7,Baseline,43.183139,0.699989,35.649471,7.533668,0.0,0.0,80,0,0,0
2,10,0.9,CO-DMO-CT,10.703024,0.727635,4.015564,2.981846,3.705615,0.6875,20,24,18,18
2,10,0.9,CO-DMO,11.330626,0.985845,5.559957,2.493852,3.276817,0.5875,20,28,21,11
2,10,0.9,Offloading,18.509634,0.125351,7.204856,7.533859,3.770919,0.7125,80,0,0,0
2,10,0.9,DVS,51.329986,0.999733,43.796046,7.53394,0.0,0.0,70,8,2,0
2,10,0.9,Baseline,53.082968,0.899982,45.549109,7.533859,0.0,0.0,80,0,0,0
2,10,1.0,CO-DMO-CT,9.788072,0.952272,3.404144,2.433926,3.950001,0.6875,14,24,26,16
2,10,1.0,CO-DMO,11.668674,0.993136,5.397896,2.613558,3.65722,0.65,19,23,26,12
2,10,1.0,Offloading,18.212248,0.110468,6.468188,7.533931,4.210129,0.7375,80,0,0,0
