# generation power_min power_avg power_max util_min util_avg util_max
1 53.696572 53.696572 53.696572 1.041560 1.089645 1.099913
100 47.266838 51.619055 54.181430 0.909320 1.007846 1.098855
200 45.618807 47.715165 50.229938 0.854606 0.952588 1.034375
300 43.215385 45.248706 46.456014 0.884187 0.952811 1.008382
400 43.933691 43.158041 43.933691 0.922491 0.977099 1.002738
500 41.732435 42.532075 42.822393 0.969606 0.989985 1.005585
600 41.617251 42.020983 42.326995 0.973822 0.986950 0.999442
700 41.728542 41.626774 41.728542 0.984817 0.993421 1.001122
800 41.556723 41.515171 41.556723 0.996063 0.998870 1.001122
900 41.374487 41.487806 41.491324 0.998376 0.999344 1.000444
1000 41.374487 41.374487 41.436733 0.998451 1.000199 1.000310
1100 41.436733 41.374487 41.436733 0.998451 1.000013 1.000310
1200 41.374487 41.374487 41.374487 0.998451 1.000050 1.000310
1300 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
1400 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
1500 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
1600 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
1700 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
1800 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
1900 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
2000 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
2100 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
2200 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
2300 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
2400 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
2500 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
2600 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
2700 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
2800 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
2900 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
3000 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
3100 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
3200 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
3300 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
3400 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
3500 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
3600 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
3700 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
3800 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
3900 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
4000 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
4100 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
4200 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
4300 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
4400 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
4500 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
4600 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
4700 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
4800 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
4900 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
5000 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
5100 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
5200 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
5300 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
5400 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
5500 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
5600 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
5700 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
5800 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
5900 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
6000 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
6100 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
6200 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
6300 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
6400 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
6500 41.307081 41.307081 41.307081 1.000310 1.000310 1.000310
