Network,Section,Power,Util,CPU_Power,Memory_Power,Network_Power,Offloading_Ratio,CPU_Frequency_1,CPU_Frequency_0.5,CPU_Frequency_0.25,CPU_Frequency_0.125
10,CO-DMO-CT,3.231957,0.047603,0.160851,0.655007,2.4161,0.821429,3.0,8.0,11.0,6.0
10,CO-DMO,2.987951,0.039201,0.151786,0.420032,2.416133,0.857143,6.0,6.0,10.0,6.0
10,Offloading,4.45489,0.021058,1.926571,0.114219,2.4141,0.785714,28.0,0.0,0.0,0.0
10,DVS,62.946976,1.1566,58.2488,4.698176,0.0,0.0,28.0,0.0,0.0,0.0
10,Baseline,62.663685,1.158475,58.291925,4.37176,0.0,0.0,28.0,0.0,0.0,0.0
50,CO-DMO-CT,1.321275,0.051878,0.176364,0.661698,0.483213,0.785714,6.0,6.0,8.0,8.0
50,CO-DMO,1.875758,0.054793,0.129324,1.263207,0.483227,0.857143,6.0,5.0,13.0,4.0
50,Offloading,2.890164,0.01159,1.514969,0.891975,0.48322,0.821429,28.0,0.0,0.0,0.0
50,DVS,62.946976,1.1566,58.2488,4.698176,0.0,0.0,28.0,0.0,0.0,0.0
50,Baseline,62.663685,1.158475,58.291925,4.37176,0.0,0.0,28.0,0.0,0.0,0.0
100,CO-DMO-CT,0.837171,0.249396,0.360802,0.234956,0.241413,0.821429,6.0,6.0,10.0,6.0
100,CO-DMO,1.189708,0.044863,0.095359,0.852735,0.241613,0.857143,4.0,8.0,11.0,5.0
100,Offloading,2.617742,0.021465,1.947777,0.428555,0.24141,0.785714,28.0,0.0,0.0,0.0
100,DVS,62.946976,1.1566,58.2488,4.698176,0.0,0.0,28.0,0.0,0.0,0.0
100,Baseline,62.663685,1.158475,58.291925,4.37176,0.0,0.0,28.0,0.0,0.0,0.0
