# generation power_min power_avg power_max util_min util_avg util_max
1 4.305254 11.065793 28.709761 0.118628 1.007318 1.499200
100 2.609878 4.542753 7.693201 0.016979 0.469542 1.409233
200 1.915312 2.602647 3.170321 0.011298 0.065509 0.501633
300 1.660154 1.907860 2.221199 0.010540 0.026131 0.097085
400 1.655602 1.665563 1.677634 0.010916 0.014801 0.017779
500 1.655602 1.656356 1.659167 0.013992 0.014766 0.015742
600 1.654317 1.655551 1.655602 0.014724 0.014742 0.014742
700 1.654317 1.654973 1.655602 0.014724 0.014733 0.014742
800 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
900 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
1000 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
1100 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
1200 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
1300 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
1400 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
1500 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
1600 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
1700 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
1800 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
1900 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
2000 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
2100 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
2200 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
2300 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
2400 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
2500 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
2600 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
2700 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
2800 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
2900 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
3000 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
3100 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
3200 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
3300 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
3400 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
3500 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
3600 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
3700 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
3800 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
3900 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
4000 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
4100 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
4200 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
4300 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
4400 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
4500 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
4600 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
4700 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
4800 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
4900 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
5000 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
5100 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
5200 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
5300 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
5400 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
5500 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
5600 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
5700 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
5800 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
5900 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
6000 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
6100 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
6200 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
6300 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
6400 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
6500 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
6600 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
6700 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
6800 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
6900 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
7000 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
7100 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
7200 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
7300 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
7400 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
7500 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
7600 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
7700 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
7800 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
7900 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
8000 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
8100 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
8200 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
8300 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
8400 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
8500 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
8600 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
8700 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
8800 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
8900 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
9000 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
9100 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
9200 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
9300 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
9400 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
9500 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
9600 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
9700 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
9800 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
9900 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
10000 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
10100 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
10200 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
10300 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
10400 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
10500 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
10600 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
10700 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
10800 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
10900 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
11000 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
11100 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
11200 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
11300 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
11400 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
11500 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
11600 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
11700 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
11800 1.654317 1.654317 1.654317 0.014724 0.014724 0.014724
