# generation power_min power_avg power_max util_min util_avg util_max
1 31.683649 31.683649 31.683649 0.792600 1.343775 1.499200
100 31.683649 28.812251 31.683649 0.720575 0.951141 1.209850
200 27.919957 26.294472 27.919957 0.828725 0.966193 1.082050
300 24.795843 24.510466 24.795843 0.975500 0.997346 1.015600
400 24.330421 24.167401 24.330421 0.998125 0.999749 1.014625
500 24.105831 24.132694 24.136525 0.998750 0.999885 1.000000
600 24.105831 24.129366 24.133291 0.998750 0.999902 1.000000
700 24.105831 24.111000 24.133291 0.998750 0.999564 1.000000
800 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
900 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
1000 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
1100 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
1200 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
1300 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
1400 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
1500 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
1600 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
1700 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
1800 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
1900 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
2000 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
2100 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
2200 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
2300 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
2400 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
2500 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
2600 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
2700 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
2800 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
2900 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
3000 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
3100 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
3200 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
3300 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
3400 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
3500 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
3600 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
3700 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
3800 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
3900 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
4000 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
4100 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
4200 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
4300 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
4400 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
4500 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
4600 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
4700 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
4800 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
4900 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
5000 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
5100 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
5200 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
5300 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
5400 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
5500 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
5600 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
5700 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
5800 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
5900 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
6000 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
6100 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
6200 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
6300 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
6400 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
6500 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
6600 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
6700 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
6800 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
6900 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
7000 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
7100 24.105831 24.105831 24.105831 0.999500 0.999500 0.999500
