# generation power_min power_avg power_max util_min util_avg util_max
1 6.056983 18.445432 33.967847 0.038956 0.323653 0.690325
100 3.441702 6.781593 11.398980 0.003849 0.065525 0.167100
200 3.003463 3.544489 4.266594 0.003849 0.004923 0.022737
300 2.914173 3.137659 3.213632 0.003874 0.003930 0.004099
400 2.737566 2.831132 2.998001 0.003874 0.003897 0.004099
500 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
600 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
700 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
800 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
900 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
1000 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
1100 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
1200 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
1300 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
1400 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
1500 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
1600 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
1700 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
1800 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
1900 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
2000 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
2100 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
2200 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
2300 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
2400 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
2500 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
2600 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
2700 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
2800 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
2900 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
3000 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
3100 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
3200 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
3300 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
3400 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
3500 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
3600 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
3700 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
3800 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
3900 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
4000 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
4100 2.737566 2.737566 2.737566 0.003874 0.003874 0.003874
