# generation power_min power_avg power_max util_min util_avg util_max
1 6.050795 7.465450 9.075518 0.313923 0.455187 0.681578
100 5.030769 5.989486 6.661580 0.293827 0.448603 0.600220
200 4.253933 4.913102 5.429374 0.264484 0.398828 0.531880
300 3.477272 4.100030 4.557418 0.229225 0.326918 0.527755
400 2.857173 3.283428 3.635544 0.200661 0.282278 0.367524
500 2.491776 2.754644 2.953896 0.203428 0.238504 0.324078
600 2.221894 2.441170 2.589111 0.197752 0.214915 0.257288
700 2.051622 2.217984 2.300556 0.199966 0.205560 0.217131
800 2.043420 2.064446 2.180579 0.199966 0.202878 0.213779
900 2.041165 2.048022 2.050016 0.202898 0.203281 0.204777
1000 2.039372 2.044370 2.046015 0.203477 0.203957 0.205242
1100 2.038732 2.040614 2.041165 0.204777 0.204877 0.205242
1200 2.037627 2.039127 2.039419 0.205079 0.205144 0.205545
1300 2.036713 2.038198 2.038732 0.205219 0.205383 0.205966
1400 2.036713 2.037416 2.037627 0.205545 0.205642 0.205966
1500 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
1600 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
1700 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
1800 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
1900 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
2000 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
2100 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
2200 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
2300 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
2400 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
2500 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
2600 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
2700 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
2800 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
2900 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
3000 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
3100 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
3200 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
3300 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
3400 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
3500 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
3600 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
3700 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
3800 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
3900 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
4000 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
4100 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
4200 2.036713 2.036713 2.036713 0.205966 0.205966 0.205966
