# generation power_min power_avg power_max util_min util_avg util_max
1 7.801205 9.536281 11.342905 0.261805 0.391435 0.557817
10 7.640516 9.341668 10.367139 0.258922 0.388272 0.557817
20 7.640516 9.175798 9.988874 0.256592 0.386830 0.557817
30 7.588394 9.017281 9.891149 0.256592 0.387327 0.557817
40 7.588394 8.877370 9.708341 0.256592 0.390453 0.557817
50 7.588394 8.766383 9.518132 0.256592 0.392359 0.557817
60 7.583801 8.627485 9.385844 0.256592 0.394256 0.505081
70 7.583801 8.499024 9.187336 0.256592 0.399076 0.505081
80 7.223416 8.365529 9.044783 0.256592 0.404423 0.505081
90 7.223416 8.245513 8.892221 0.256592 0.404571 0.529258
100 7.223416 8.149219 8.822783 0.256592 0.408210 0.529258
110 7.223416 8.045029 8.685162 0.256592 0.410615 0.529258
120 7.019894 7.936297 8.510966 0.256592 0.406810 0.529258
130 7.019894 7.834934 8.382941 0.256592 0.406576 0.529258
140 6.461846 7.733294 8.218993 0.256592 0.406371 0.529258
150 6.461846 7.654872 8.125902 0.256592 0.405926 0.529258
160 6.379756 7.562211 8.019381 0.256592 0.405643 0.531201
170 6.379756 7.476982 7.916516 0.252268 0.399942 0.531201
180 6.275644 7.377528 7.817973 0.252268 0.399460 0.531201
190 6.275644 7.282933 7.786298 0.252268 0.402780 0.531201
200 6.275644 7.206802 7.682673 0.252268 0.406581 0.531201
210 6.265477 7.117509 7.593327 0.252268 0.406893 0.531201
220 6.265477 7.022388 7.532529 0.252268 0.414703 0.531201
230 6.265477 6.928109 7.432839 0.252268 0.416991 0.531201
240 6.067126 6.835926 7.329825 0.252268 0.419432 0.531201
250 6.067126 6.746932 7.259180 0.252268 0.425079 0.531201
260 5.611257 6.636528 7.203708 0.252268 0.428254 0.531201
270 5.611257 6.547316 7.061879 0.252268 0.433481 0.537290
280 5.508310 6.451131 6.959442 0.252268 0.440201 0.563565
290 5.508310 6.360340 6.848844 0.274211 0.449309 0.563565
300 5.508310 6.281172 6.729066 0.274211 0.450011 0.563565
310 5.508310 6.197826 6.618530 0.334358 0.457674 0.567822
320 5.339883 6.109525 6.573290 0.372621 0.460327 0.579993
330 5.205690 6.014652 6.498145 0.375401 0.463972 0.579993
340 5.131878 5.908302 6.439629 0.375401 0.469044 0.587150
350 5.131878 5.809948 6.379756 0.375401 0.473897 0.587150
360 5.131878 5.723124 6.266745 0.375401 0.476356 0.587150
370 5.131878 5.630657 6.145859 0.375401 0.479868 0.587150
380 5.031854 5.547048 6.039730 0.375401 0.480330 0.587150
390 5.031854 5.466825 5.946590 0.375401 0.482462 0.587150
400 5.031854 5.398021 5.805748 0.375401 0.484077 0.587150
410 4.830918 5.328259 5.670350 0.375401 0.484140 0.587150
420 4.830918 5.271028 5.585962 0.375401 0.489395 0.587150
430 4.830918 5.223597 5.527440 0.391539 0.487887 0.587150
440 4.830918 5.176730 5.500905 0.391539 0.488681 0.599351
450 4.778618 5.123007 5.427188 0.391539 0.488884 0.599351
460 4.778618 5.077274 5.312009 0.391539 0.488529 0.599351
470 4.778190 5.046978 5.238940 0.394102 0.490826 0.599351
480 4.632421 5.008828 5.205690 0.394102 0.497448 0.599351
490 4.632421 4.966473 5.192301 0.394102 0.497823 0.599351
500 4.630097 4.925293 5.153966 0.394102 0.500617 0.599351
510 4.597868 4.881040 5.095884 0.394102 0.502385 0.599351
520 4.561550 4.842330 5.061853 0.394102 0.504158 0.574572
530 4.561550 4.806546 5.005805 0.408007 0.507108 0.574572
540 4.504398 4.770155 4.969952 0.408007 0.506875 0.576274
550 4.504398 4.736939 4.923512 0.408007 0.506866 0.576274
560 4.411871 4.703054 4.884094 0.408007 0.507057 0.576274
570 4.376653 4.672848 4.848349 0.417105 0.509423 0.576274
580 4.371199 4.636403 4.802297 0.417105 0.511389 0.595110
590 4.371199 4.604688 4.778190 0.417105 0.515664 0.608329
600 4.290658 4.572411 4.745602 0.417105 0.516764 0.608329
610 4.205808 4.533757 4.710908 0.417105 0.522259 0.608329
620 4.205808 4.503757 4.691840 0.417105 0.524691 0.608329
630 4.159727 4.467739 4.644148 0.417105 0.529743 0.615802
640 4.159727 4.435050 4.623416 0.431337 0.532159 0.619112
650 4.068148 4.397364 4.579843 0.431337 0.534547 0.619112
660 4.068148 4.364202 4.561541 0.431337 0.540550 0.621964
670 4.068148 4.330304 4.520122 0.431337 0.544484 0.621964
680 4.068148 4.297374 4.492738 0.487854 0.546932 0.621964
690 4.014241 4.264046 4.424854 0.487854 0.548109 0.621964
700 3.977907 4.233649 4.413782 0.487854 0.548796 0.621964
710 3.977907 4.201119 4.383162 0.487854 0.550385 0.621964
720 3.977907 4.170957 4.352169 0.487854 0.552278 0.621964
730 3.951896 4.144165 4.294231 0.488521 0.553922 0.621964
740 3.951896 4.119743 4.253830 0.488521 0.554244 0.621964
750 3.951896 4.095252 4.222078 0.504812 0.555521 0.621964
760 3.951896 4.072827 4.200805 0.504812 0.552432 0.619112
770 3.951896 4.051198 4.179983 0.509958 0.549307 0.611804
780 3.951896 4.030852 4.159727 0.509958 0.546817 0.590424
790 3.951896 4.013298 4.112089 0.509958 0.547300 0.590424
