# generation power_min power_avg power_max util_min util_avg util_max
1 12.410285 15.563770 17.921277 0.109075 0.163946 0.198143
10 12.410285 15.350120 16.533480 0.109075 0.160876 0.198143
20 12.410285 15.137296 16.201739 0.109075 0.157559 0.195143
30 12.410285 14.941550 15.946265 0.109075 0.154858 0.195143
40 12.410285 14.763370 15.752488 0.109075 0.151838 0.187864
50 12.410285 14.615462 15.509320 0.109075 0.149481 0.178307
60 12.306892 14.439984 15.322171 0.109075 0.147924 0.178307
70 12.306892 14.259467 15.105627 0.109075 0.145261 0.178307
80 12.306892 14.095350 14.971827 0.109075 0.143860 0.178307
90 12.306892 13.931206 14.859158 0.109075 0.141495 0.178307
100 12.212878 13.752718 14.694039 0.109075 0.138416 0.163461
110 12.212878 13.558018 14.553680 0.108963 0.135651 0.163461
120 12.211127 13.376694 14.394627 0.102607 0.132658 0.163461
130 11.598903 13.176221 14.180096 0.088850 0.128307 0.161884
140 11.598903 13.009072 14.007818 0.088850 0.125591 0.154616
150 11.235902 12.826722 13.861440 0.083179 0.122538 0.150013
160 11.235902 12.671944 13.527882 0.083179 0.119750 0.146451
170 11.199183 12.510153 13.400615 0.083179 0.117516 0.146451
180 10.954002 12.321052 13.248495 0.083179 0.113837 0.146451
190 10.954002 12.172029 13.065765 0.083179 0.110562 0.136332
200 10.818930 12.007530 12.862225 0.076207 0.106889 0.136332
210 10.390224 11.854976 12.643531 0.076207 0.102908 0.129285
220 10.390224 11.731797 12.410285 0.076207 0.100027 0.126089
230 10.390224 11.591993 12.279288 0.073826 0.097104 0.126089
240 10.390224 11.451098 12.206841 0.072870 0.094065 0.117670
250 10.061064 11.302651 12.094575 0.065603 0.090852 0.117670
260 9.758916 11.166668 11.940451 0.056066 0.087698 0.114470
270 9.756127 11.015799 11.785033 0.056066 0.084591 0.114470
280 9.650855 10.868062 11.653524 0.056066 0.081563 0.103309
290 9.521527 10.722323 11.551218 0.056066 0.078895 0.103309
300 9.521527 10.591191 11.324776 0.056066 0.076579 0.099649
310 9.177905 10.453839 11.112601 0.054916 0.074257 0.093269
320 9.177905 10.317152 10.981078 0.050464 0.072034 0.089748
330 9.177905 10.191578 10.873433 0.050464 0.070085 0.089748
340 9.177905 10.089201 10.757849 0.050464 0.068442 0.084498
350 9.177905 9.969802 10.670476 0.050464 0.066403 0.084306
