# generation power_min power_avg power_max util_min util_avg util_max
1 17.884013 19.036617 21.056457 0.233550 0.242483 0.248611
10 17.864166 18.873601 19.858767 0.238441 0.243163 0.248611
20 17.573122 18.717000 19.660364 0.238641 0.243845 0.248955
30 17.243354 18.564400 19.319409 0.240693 0.244539 0.250971
40 17.243354 18.430505 19.123912 0.241077 0.245116 0.250971
50 17.243354 18.309959 18.978475 0.241675 0.245691 0.250971
60 17.243354 18.188517 18.855558 0.242372 0.246249 0.250971
70 17.243354 18.061594 18.772410 0.242492 0.246788 0.250971
80 16.966294 17.915950 18.667427 0.242633 0.247437 0.251569
90 16.801177 17.785415 18.496280 0.244685 0.248072 0.252471
100 16.758862 17.667819 18.295563 0.244818 0.248584 0.252799
110 16.591643 17.560290 18.185525 0.245670 0.249108 0.253290
120 16.473002 17.448855 18.044863 0.245834 0.249576 0.253744
130 16.473002 17.356822 17.884013 0.247248 0.250036 0.253744
140 16.473002 17.268179 17.795344 0.247260 0.250415 0.253744
150 16.473002 17.184635 17.658490 0.247960 0.250810 0.253744
160 16.467587 17.090943 17.586232 0.248177 0.251230 0.253950
170 16.437934 17.012177 17.487670 0.249241 0.251591 0.253950
180 16.223758 16.930716 17.373485 0.249241 0.251897 0.254118
190 16.223758 16.858269 17.324257 0.249354 0.252203 0.254713
200 16.173604 16.783469 17.204742 0.250119 0.252479 0.254713
210 15.980435 16.713175 17.116145 0.250590 0.252766 0.255650
220 15.980435 16.636924 17.026258 0.250912 0.253070 0.255650
230 15.980435 16.571965 16.912018 0.251120 0.253352 0.255650
240 15.980435 16.522440 16.850413 0.251615 0.253575 0.255710
250 15.980435 16.475849 16.801177 0.251615 0.253783 0.255728
260 15.980435 16.430222 16.707766 0.252398 0.253990 0.256451
270 15.980435 16.388374 16.619804 0.252559 0.254148 0.256451
280 15.980435 16.348713 16.545813 0.252559 0.254302 0.256754
290 15.980435 16.313070 16.529097 0.253053 0.254440 0.256754
300 15.980435 16.279683 16.473002 0.253053 0.254587 0.256754
310 15.973076 16.234067 16.462383 0.253053 0.254781 0.256754
320 15.953778 16.193767 16.425296 0.253315 0.255014 0.256754
330 15.953778 16.154891 16.385410 0.253315 0.255141 0.256836
340 15.953778 16.118845 16.372129 0.253666 0.255275 0.256836
350 15.953778 16.085699 16.303892 0.253789 0.255446 0.256992
360 15.953778 16.058695 16.236467 0.253789 0.255546 0.257166
370 15.953778 16.035683 16.202946 0.254180 0.255705 0.257166
380 15.953778 16.014914 16.160304 0.254180 0.255765 0.257166
390 15.943907 15.995665 16.106469 0.254180 0.255789 0.257166
