# generation power_min power_avg power_max util_min util_avg util_max
1 11.119706 13.587683 15.847565 0.492799 0.794675 1.071552
10 11.119706 13.364373 14.587759 0.492799 0.792212 1.020797
20 10.888194 13.124331 14.383262 0.492799 0.790883 1.013567
30 10.888194 12.885090 14.048492 0.492799 0.794295 1.013567
40 10.888194 12.678003 13.879411 0.492799 0.797432 1.013567
50 10.660941 12.460899 13.574469 0.492799 0.804778 1.013567
60 10.660941 12.252203 13.374371 0.492799 0.806748 1.013567
70 10.388469 12.098435 13.160252 0.492799 0.807633 1.013567
80 10.388469 11.906557 12.977170 0.492799 0.809685 1.013567
90 10.388469 11.729830 12.803525 0.492799 0.809228 1.008050
100 10.107717 11.561991 12.478626 0.492799 0.810147 1.008050
110 10.107717 11.395062 12.329860 0.492799 0.800929 1.031262
120 9.961191 11.237481 12.176387 0.492799 0.790832 1.031262
130 9.738153 11.092369 11.955090 0.492799 0.786682 1.031262
140 9.738153 10.940888 11.701910 0.492799 0.785669 1.031262
150 9.738153 10.783703 11.558469 0.492799 0.784340 1.031262
160 9.738153 10.634774 11.422806 0.492799 0.783304 1.031262
170 9.627314 10.484075 11.328026 0.492799 0.780202 1.031262
180 9.361283 10.352462 11.138808 0.492799 0.774747 1.031262
190 9.361283 10.216214 10.999402 0.531141 0.769004 1.031262
200 9.271710 10.102421 10.784050 0.531141 0.760393 0.959565
210 9.011956 9.996398 10.648057 0.598848 0.755509 0.959565
220 8.950889 9.869405 10.433689 0.598848 0.756504 0.959565
230 8.849623 9.751840 10.311506 0.553596 0.753780 0.959565
240 8.849623 9.650363 10.192620 0.553596 0.757447 0.959565
250 8.445330 9.525212 10.059780 0.553596 0.753887 0.959565
260 8.445330 9.421534 9.982666 0.553596 0.753582 0.959565
270 8.436002 9.320966 9.888855 0.553596 0.754182 0.959565
280 8.436002 9.217088 9.793685 0.553596 0.756439 0.893470
290 8.436002 9.112231 9.729894 0.553596 0.760378 0.917086
300 8.365949 9.009571 9.627314 0.553596 0.763364 0.922672
310 7.976213 8.890625 9.514924 0.553596 0.762488 0.997257
320 7.976213 8.798452 9.355445 0.553596 0.762185 0.997257
330 7.976213 8.716863 9.208983 0.553596 0.764430 0.997257
340 7.976213 8.630212 9.045862 0.553596 0.765905 0.997257
350 7.901103 8.549047 8.950889 0.553596 0.772653 0.997257
360 7.574651 8.461718 8.881705 0.553596 0.778182 0.997257
370 7.574651 8.383058 8.842850 0.667007 0.788419 0.997257
380 7.574651 8.297761 8.749588 0.675428 0.794599 0.997257
390 7.574651 8.234055 8.648836 0.675428 0.799583 0.997257
400 7.574651 8.157170 8.555913 0.675428 0.802307 0.997257
410 7.574651 8.098151 8.453851 0.596258 0.801842 0.997257
420 7.574651 8.035068 8.409043 0.596258 0.799458 0.997257
430 7.574651 7.975842 8.333891 0.596258 0.800325 0.997257
440 7.324125 7.912374 8.260026 0.596258 0.800052 0.997257
