# generation power_min power_avg power_max util_min util_avg util_max
1 16.527340 12.887690 16.527340 0.731598 1.126739 1.494655
100 8.176792 10.220326 12.349770 0.685141 0.896841 1.132485
200 7.240224 8.227967 9.122457 0.707102 0.861270 1.010746
300 5.908430 7.104277 7.631981 0.663391 0.820147 0.997760
400 5.337235 6.081483 6.541053 0.622991 0.789149 0.953760
500 4.975472 5.337689 5.727257 0.691455 0.784903 0.953760
600 4.891900 4.992865 5.101650 0.691455 0.739582 0.815382
700 4.852407 4.896749 4.909461 0.735656 0.754189 0.762116
800 4.852407 4.891505 4.891900 0.755179 0.755248 0.762116
900 4.852407 4.888345 4.891900 0.755179 0.755803 0.762116
1000 4.852407 4.862280 4.891900 0.755179 0.760382 0.762116
1100 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
1200 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
1300 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
1400 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
1500 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
1600 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
1700 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
1800 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
1900 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
2000 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
2100 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
2200 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
2300 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
2400 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
2500 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
2600 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
2700 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
2800 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
2900 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
3000 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
3100 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
3200 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
3300 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
3400 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
3500 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
3600 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
3700 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
3800 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
3900 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
4000 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
4100 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
4200 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
4300 4.852407 4.852407 4.852407 0.762116 0.762116 0.762116
