# mem_idx cpufreq_idx cloud_idx offloadingratio_idx
1 0 0 1
1 0 0 1
1 0 0 1
0 0 0 1
1 0 0 1
1 0 0 1
1 0 0 1
1 0 0 1
0 0 0 1
1 0 0 1
1 0 0 0
1 0 0 1
1 0 0 1
1 0 0 1
1 0 0 1
1 0 0 1
0 0 0 1
0 0 0 0
1 0 0 0
0 0 0 1
1 0 0 1
1 0 0 1
1 0 0 1
1 0 0 1
1 0 0 1
1 0 0 1
0 0 0 1
0 0 0 1
1 0 0 0
0 0 0 1
1 0 0 1
1 0 0 0
1 0 0 1
1 0 0 1
1 0 0 1
1 0 0 1
1 0 0 1
1 0 0 0
1 0 0 1
1 0 0 1
1 0 0 1
0 0 0 0
1 0 0 1
1 0 0 1
1 0 0 1
1 0 0 1
1 0 0 1
1 0 0 1
1 0 0 1
1 0 0 1
1 0 0 1
1 0 0 1
0 0 0 1
0 0 0 1
1 0 0 1
1 0 0 0
0 0 0 1
1 0 0 1
1 0 0 1
1 0 0 0
0 0 0 0
1 0 0 1
0 0 0 1
1 0 0 1
1 0 0 1
0 0 0 1
1 0 0 0
1 0 0 0
1 0 0 1
1 0 0 1
1 0 0 1
1 0 0 0
1 0 0 1
1 0 0 1
1 0 0 1
0 0 0 1
1 0 0 1
1 0 0 1
1 0 0 1
1 0 0 1
0 0 0 1
1 0 0 1
1 0 0 1
1 0 0 1
0 0 0 0
0 0 0 1
1 0 0 1
0 0 0 0
1 0 0 1
1 0 0 1
1 0 0 1
0 0 0 0
1 0 0 1
1 0 0 1
1 0 0 1
1 0 0 1
1 0 0 1
0 0 0 1
1 0 0 1
1 0 0 1
