# generation power_min power_avg power_max util_min util_avg util_max
1 25.075000 29.358969 35.181825 0.268195 0.372337 0.508300
100 22.436023 25.433608 27.500565 0.206057 0.279404 0.329430
200 20.639475 22.357855 23.884631 0.164948 0.204593 0.239863
300 20.186673 20.970460 21.338913 0.154581 0.172765 0.181409
400 19.716492 20.321869 20.906449 0.143418 0.157688 0.171221
500 19.716492 20.149059 20.186673 0.143418 0.153688 0.154581
600 19.716492 19.876354 20.186673 0.143418 0.147213 0.154581
700 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
800 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
900 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
1000 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
1100 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
1200 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
1300 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
1400 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
1500 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
1600 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
1700 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
1800 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
1900 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
2000 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
2100 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
2200 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
2300 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
2400 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
2500 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
2600 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
2700 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
2800 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
2900 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
3000 19.716492 19.716492 19.716492 0.143418 0.143418 0.143418
