# generation power_min power_avg power_max util_min util_avg util_max
1 38.012692 38.012692 38.012692 1.461345 1.489850 1.499944
10 38.582587 38.582587 38.582587 1.310308 1.480177 1.499944
20 38.582587 38.582587 38.582587 1.281572 1.469226 1.499944
30 38.582587 38.582587 38.582587 1.276776 1.457370 1.499944
40 39.030793 39.030793 39.030793 1.199612 1.441753 1.499457
50 39.030793 39.030793 39.030793 1.199612 1.420005 1.498473
60 39.030793 39.030793 39.030793 1.190490 1.400324 1.498473
70 39.580396 39.580396 39.580396 1.137692 1.377845 1.498317
80 39.580396 39.580396 39.580396 1.137692 1.355955 1.498317
90 39.580396 39.580396 39.580396 1.126807 1.326778 1.494026
100 39.813818 39.813818 39.813818 1.079610 1.295445 1.493389
110 40.550064 40.550064 40.550064 1.023594 1.264182 1.436283
120 41.360394 41.360394 41.360394 0.986192 1.235018 1.390638
130 41.360394 41.360394 41.360394 0.986192 1.209085 1.386978
140 41.360394 41.360394 41.360394 0.986192 1.181500 1.333932
150 41.360394 41.036616 41.360394 0.986192 1.159731 1.306441
160 41.360394 40.997087 41.360394 0.986192 1.137217 1.262792
170 41.360394 40.767481 41.360394 0.986192 1.119589 1.238421
180 41.363459 40.915971 41.363459 0.962402 1.101622 1.208490
190 41.363459 40.873195 41.363459 0.962402 1.084576 1.193122
200 41.363459 40.848318 41.363459 0.962402 1.068281 1.170741
210 41.363459 40.809931 41.363459 0.962402 1.052927 1.159938
220 41.363459 40.719981 41.363459 0.962402 1.040342 1.134155
230 41.363459 40.716927 41.363459 0.962402 1.027928 1.116572
240 41.363459 40.638534 41.363459 0.962402 1.017520 1.095741
250 41.363459 40.567782 41.363459 0.962402 1.009442 1.068434
260 41.363459 40.516687 41.363459 0.962402 1.002938 1.066342
270 41.363459 40.459250 41.363459 0.962402 0.998277 1.033433
280 41.363459 40.391859 41.363459 0.962402 0.995071 1.032502
290 39.613657 40.289771 41.072336 0.967540 0.994269 1.015790
300 39.613657 40.212682 40.849876 0.967540 0.993667 1.009737
310 39.613657 40.127148 40.712838 0.967540 0.994072 1.008562
320 39.613657 40.051385 40.603471 0.967540 0.994685 1.008562
330 39.613657 40.000607 40.513551 0.974949 0.994705 1.004922
340 39.613657 39.943275 40.370122 0.974949 0.994971 1.004922
350 39.613657 39.896520 40.247997 0.982464 0.995129 1.003625
360 40.017148 39.852450 40.017148 0.983002 0.995181 1.003671
370 40.017148 39.822406 40.017148 0.983002 0.995488 1.003671
380 39.995680 39.783552 39.995680 0.983002 0.995738 1.003671
