# generation power_min power_avg power_max util_min util_avg util_max
1 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
100 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
200 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
300 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
400 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
500 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
600 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
700 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
800 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
900 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
1000 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
1100 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
1200 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
1300 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
1400 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
1500 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
1600 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
1700 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
1800 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
1900 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
2000 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
2100 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
2200 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
2300 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
2400 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
2500 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
2600 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
2700 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
2800 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
2900 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
3000 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
3100 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
3200 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
3300 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
3400 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
3500 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
3600 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
3700 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
3800 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
3900 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
4000 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
4100 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
4200 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
4300 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
4400 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
4500 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
4600 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
4700 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
4800 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
4900 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
5000 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
5100 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
5200 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
5300 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
5400 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
5500 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
5600 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
5700 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
5800 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
5900 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
6000 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
6100 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
6200 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
6300 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
6400 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
6500 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
6600 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
6700 48.132995 48.132995 48.132995 0.799984 0.799984 0.799984
