# generation power_min power_avg power_max util_min util_avg util_max
1 39.837082 39.837082 39.837082 1.430201 1.484256 1.499787
100 42.315611 41.922970 42.315611 0.976958 1.258793 1.497096
200 42.924918 42.149538 42.924918 0.951304 1.016021 1.077937
300 42.010758 41.829168 42.010758 0.976958 0.992458 1.001064
400 41.805241 41.767957 41.805241 0.989282 0.994084 1.000516
500 41.734986 41.719640 41.734986 0.993577 0.996083 1.000516
600 41.714805 41.687845 41.714805 0.995264 0.997711 1.000516
700 41.677878 41.677878 41.677878 0.997434 0.997588 1.000516
800 41.677878 41.677878 41.677878 0.997434 0.997742 1.000516
900 41.677878 41.677878 41.677878 0.997434 0.998235 1.000516
1000 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
1100 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
1200 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
1300 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
1400 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
1500 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
1600 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
1700 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
1800 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
1900 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
2000 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
2100 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
2200 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
2300 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
2400 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
2500 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
2600 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
2700 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
2800 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
2900 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
3000 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
3100 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
3200 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
3300 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
3400 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
3500 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
3600 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
3700 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
3800 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
3900 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
4000 41.609950 41.609950 41.609950 1.000516 1.000516 1.000516
