# generation power_min power_avg power_max util_min util_avg util_max
1 53.895061 53.895061 53.895061 1.346005 1.478273 1.499027
100 55.181713 23.939160 55.181713 0.559815 1.111835 1.498221
200 12.489122 17.160311 22.140742 0.608401 0.865631 1.213386
300 11.440834 12.941856 14.225303 0.576449 0.727536 0.991027
400 10.413275 11.377534 12.001229 0.563201 0.721087 0.864128
500 9.433633 10.390018 10.917632 0.588766 0.738108 0.879181
600 9.084662 9.444602 9.844100 0.713891 0.815135 0.873617
700 8.724773 9.046786 9.195818 0.826751 0.859512 0.883037
800 8.600347 8.768832 8.924514 0.851348 0.874485 0.888740
900 8.571730 8.612253 8.679873 0.868738 0.874013 0.887318
1000 8.560821 8.573748 8.589438 0.874042 0.878053 0.880491
1100 8.560821 8.563286 8.568733 0.879080 0.880221 0.880491
1200 8.560821 8.560821 8.560821 0.880491 0.880491 0.880491
1300 8.560821 8.560821 8.560821 0.880491 0.880491 0.880491
1400 8.560821 8.560821 8.560821 0.880491 0.880491 0.880491
1500 8.560821 8.560821 8.560821 0.880491 0.880491 0.880491
1600 8.560821 8.560821 8.560821 0.880491 0.880491 0.880491
1700 8.560821 8.560821 8.560821 0.880491 0.880491 0.880491
1800 8.560821 8.560821 8.560821 0.880491 0.880491 0.880491
1900 8.560821 8.560821 8.560821 0.880491 0.880491 0.880491
2000 8.560821 8.560821 8.560821 0.880491 0.880491 0.880491
2100 8.560821 8.560821 8.560821 0.880491 0.880491 0.880491
2200 8.560821 8.560821 8.560821 0.880491 0.880491 0.880491
2300 8.560821 8.560821 8.560821 0.880491 0.880491 0.880491
2400 8.560821 8.560821 8.560821 0.880491 0.880491 0.880491
2500 8.560821 8.560821 8.560821 0.880491 0.880491 0.880491
2600 8.560821 8.560821 8.560821 0.880491 0.880491 0.880491
2700 8.560821 8.560821 8.560821 0.880491 0.880491 0.880491
2800 8.560821 8.560821 8.560821 0.880491 0.880491 0.880491
2900 8.560821 8.560821 8.560821 0.880491 0.880491 0.880491
3000 8.560821 8.560821 8.560821 0.880491 0.880491 0.880491
