# generation power_min power_avg power_max util_min util_avg util_max
1 21.576575 36.013775 57.363668 0.307275 0.665256 1.079344
10 19.123883 34.258730 49.469175 0.246100 0.605907 0.987436
20 14.987892 32.027891 43.802307 0.145997 0.554465 0.841569
30 14.987892 30.171735 40.602523 0.145997 0.512683 0.814200
40 13.270657 28.303969 39.374629 0.145997 0.470316 0.739018
50 13.021843 26.363665 37.408716 0.133291 0.427020 0.665873
60 13.021843 24.600293 33.564702 0.127729 0.388402 0.608107
70 11.357854 23.103311 32.212521 0.098227 0.355563 0.590926
80 10.181925 21.388370 30.422040 0.056307 0.316448 0.551966
90 10.181925 20.101566 28.647282 0.056307 0.289306 0.487375
100 10.181925 18.678223 27.580974 0.056307 0.257276 0.484742
110 7.411881 17.364099 25.431670 0.041024 0.227590 0.406660
120 7.411881 16.107763 22.091303 0.041024 0.199900 0.353156
130 7.411881 15.071041 21.172066 0.036166 0.178146 0.353156
140 7.411881 14.088097 19.523221 0.036166 0.157380 0.288500
150 7.411881 13.169837 18.608939 0.036166 0.138212 0.259350
160 7.411881 12.312880 17.579225 0.036166 0.120660 0.256432
170 7.411881 11.560383 16.188746 0.036116 0.104264 0.236150
180 7.411881 10.870745 14.987892 0.026877 0.089534 0.189991
190 7.411881 10.299560 13.610663 0.026877 0.079241 0.170042
200 7.284757 9.786939 13.098091 0.026877 0.069349 0.147541
210 7.188939 9.289541 12.414738 0.026877 0.060250 0.137382
220 6.874741 8.849036 11.357854 0.026752 0.052360 0.112366
230 6.843659 8.514424 10.651523 0.019158 0.046112 0.093236
240 6.326032 8.232678 9.855476 0.019158 0.043008 0.071117
250 6.326032 7.965406 9.487679 0.019158 0.040186 0.067476
260 6.326032 7.743426 8.926216 0.019158 0.037500 0.067476
270 6.326032 7.563765 8.701778 0.019158 0.035803 0.067476
280 6.308544 7.392638 8.370618 0.019158 0.033933 0.067376
290 5.926936 7.244258 8.129466 0.019158 0.032632 0.058007
300 5.926936 7.101567 8.005645 0.019158 0.031498 0.058007
310 5.516700 6.950381 7.813526 0.019158 0.030444 0.045900
320 5.516700 6.845134 7.520572 0.021008 0.030350 0.041024
330 5.511239 6.727790 7.294512 0.021158 0.030407 0.039916
340 5.450060 6.619493 7.200657 0.021158 0.030488 0.040016
350 5.450060 6.515975 7.000155 0.021158 0.030742 0.040016
360 5.444599 6.433769 6.874741 0.021158 0.030643 0.040016
370 5.444599 6.352096 6.843659 0.021158 0.030721 0.040016
380 5.338732 6.236827 6.793278 0.021158 0.031103 0.040016
390 5.338732 6.111293 6.787718 0.021158 0.030441 0.040016
400 5.137113 5.988398 6.714963 0.021158 0.030237 0.040016
410 5.039823 5.865498 6.520012 0.021033 0.029774 0.040016
420 5.039823 5.743360 6.372329 0.021033 0.029135 0.040016
430 5.039823 5.637343 6.308544 0.021033 0.028470 0.040016
440 4.727097 5.523895 6.221929 0.021033 0.028363 0.040016
450 4.721637 5.422015 5.921475 0.021033 0.027669 0.040016
460 4.721637 5.341149 5.870995 0.021033 0.026631 0.040016
470 4.721637 5.262138 5.717876 0.021033 0.025695 0.039642
480 4.460350 5.196887 5.516700 0.021033 0.024664 0.030652
490 4.460350 5.142092 5.455299 0.021033 0.024375 0.030552
500 4.460350 5.096821 5.450060 0.021033 0.023632 0.030552
510 4.460350 5.046962 5.444599 0.021033 0.022712 0.030552
520 4.460350 4.998197 5.254343 0.021033 0.021965 0.030522
530 4.460350 4.962701 5.126413 0.021033 0.021495 0.030278
540 4.460350 4.931629 5.045283 0.021033 0.021126 0.021183
550 4.454890 4.899508 5.045283 0.021033 0.021123 0.021183
560 4.454890 4.870871 5.045283 0.021033 0.021123 0.021183
570 4.454890 4.842125 5.045283 0.021033 0.021120 0.021183
580 4.454890 4.796914 5.045283 0.021033 0.021120 0.021183
590 4.454890 4.760034 5.039824 0.021033 0.021127 0.021183
600 4.454890 4.723317 5.039823 0.021033 0.021138 0.021183
610 4.454890 4.687768 4.928496 0.021033 0.021148 0.021183
620 4.454890 4.678318 4.727097 0.021033 0.021145 0.021183
630 4.454890 4.659591 4.727097 0.021033 0.021146 0.021183
640 4.454890 4.646090 4.727097 0.021033 0.021143 0.021183
650 4.454890 4.624532 4.727097 0.021033 0.021140 0.021183
660 4.454890 4.600415 4.727097 0.021033 0.021140 0.021183
670 4.454890 4.573468 4.727097 0.021033 0.021136 0.021183
680 4.454890 4.546411 4.727097 0.021033 0.021130 0.021183
690 4.454890 4.519409 4.727097 0.021033 0.021125 0.021183
700 4.454890 4.492570 4.721637 0.021033 0.021124 0.021183
710 4.454890 4.465950 4.721637 0.021033 0.021128 0.021183
720 4.454890 4.457620 4.460350 0.021058 0.021121 0.021183
730 4.454890 4.457074 4.460350 0.021058 0.021108 0.021183
740 4.454890 4.456528 4.460350 0.021058 0.021096 0.021183
750 4.454890 4.455982 4.460350 0.021058 0.021083 0.021183
760 4.454890 4.455436 4.460350 0.021058 0.021071 0.021183
770 4.454890 4.454890 4.454891 0.021058 0.021058 0.021058
780 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
790 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
800 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
810 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
820 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
830 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
840 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
850 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
860 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
870 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
880 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
890 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
900 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
910 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
920 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
930 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
940 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
950 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
960 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
970 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
980 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
990 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1000 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1010 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1020 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1030 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1040 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1050 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1060 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1070 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1080 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1090 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1100 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1110 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1120 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1130 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1140 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1150 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1160 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1170 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1180 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1190 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1200 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1210 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1220 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1230 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1240 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1250 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1260 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1270 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1280 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1290 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1300 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1310 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1320 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1330 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1340 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1350 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1360 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1370 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1380 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1390 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1400 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1410 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1420 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1430 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1440 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1450 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1460 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1470 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1480 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1490 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1500 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1510 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1520 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1530 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1540 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1550 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1560 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1570 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1580 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1590 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1600 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1610 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
1620 4.454890 4.454890 4.454890 0.021058 0.021058 0.021058
