# generation power_min power_avg power_max util_min util_avg util_max
1 11.089944 15.658550 66.736966 0.472266 1.361638 1.497875
10 7.923109 15.681139 66.736966 0.378350 1.325610 1.497875
20 7.923109 16.429076 66.736966 0.378350 1.292116 1.495225
30 7.923109 17.346500 65.751354 0.362824 1.241161 1.495225
40 7.923109 16.814942 65.511509 0.341294 1.174281 1.489534
50 7.923109 16.327026 65.511509 0.203055 1.093562 1.489534
60 7.297771 15.434372 65.511509 0.203055 1.008135 1.489534
70 5.881102 14.532109 65.323144 0.203055 0.935914 1.489534
80 4.935172 13.784858 65.323144 0.203055 0.856206 1.489534
90 4.935172 13.239287 38.328638 0.203055 0.782039 1.479812
100 4.935172 11.724403 25.073202 0.203055 0.732238 1.479812
110 4.935172 10.929681 23.517727 0.131807 0.666808 1.169335
120 4.935172 9.806209 19.599341 0.131807 0.633594 1.165129
130 4.187735 8.830517 17.478654 0.131807 0.577939 1.165129
140 4.187735 8.134711 14.548469 0.131807 0.530384 0.949904
150 4.180314 7.373315 11.399341 0.131807 0.507936 0.925586
160 4.180314 6.863012 9.822365 0.131807 0.489650 0.898070
170 3.829372 6.455859 8.766726 0.114702 0.472795 0.883525
180 3.829372 6.093497 7.976123 0.114702 0.452077 0.883525
190 3.298099 5.739070 7.674343 0.114702 0.418541 0.883525
200 3.298099 5.395159 7.518211 0.114702 0.369665 0.883525
210 3.298099 5.065228 6.925235 0.114702 0.337432 0.876118
220 3.298099 4.778260 6.296845 0.114702 0.316106 0.876118
230 2.996392 4.509421 6.049764 0.114702 0.290347 0.876118
240 2.985899 4.261729 5.651789 0.122860 0.276705 0.876118
250 2.853435 4.041318 5.364402 0.122860 0.243075 0.741474
260 2.853435 3.835540 4.853129 0.057665 0.221489 0.696840
270 2.696523 3.684260 4.608891 0.036563 0.215733 0.696840
280 2.432241 3.519442 4.432281 0.026934 0.200762 0.427101
290 2.197832 3.369203 4.180314 0.026934 0.193057 0.427101
300 2.121009 3.233503 3.952754 0.026934 0.185358 0.319236
310 2.121009 3.120776 3.807382 0.026934 0.177331 0.319236
320 2.010042 3.006403 3.633365 0.026934 0.167882 0.326897
330 1.577438 2.856417 3.550694 0.026934 0.159605 0.326897
340 1.577438 2.728620 3.336699 0.026934 0.150953 0.326897
350 1.408490 2.582874 3.291070 0.026934 0.136362 0.326897
360 1.408490 2.456297 3.136090 0.026934 0.127234 0.326897
370 1.408490 2.347262 2.996392 0.026934 0.112742 0.326897
380 1.408490 2.227353 2.926764 0.024548 0.103866 0.326897
390 1.398621 2.106120 2.760048 0.024548 0.094256 0.326897
400 1.398621 2.003953 2.700526 0.024548 0.083701 0.326897
410 1.329452 1.895335 2.551678 0.024548 0.078256 0.306095
420 1.323843 1.802333 2.351350 0.028976 0.076786 0.306095
430 1.323843 1.722182 2.182975 0.028976 0.069358 0.306095
440 1.323843 1.659225 2.076827 0.028976 0.063578 0.306095
450 1.323843 1.593781 1.995047 0.028976 0.054327 0.245440
460 1.323843 1.546636 1.846980 0.028976 0.049633 0.173137
470 1.323843 1.504005 1.779385 0.028976 0.049147 0.104003
480 1.323843 1.464991 1.676176 0.029095 0.048522 0.057029
490 1.323843 1.437212 1.608976 0.033601 0.049739 0.057029
500 1.322261 1.411242 1.572515 0.044551 0.050413 0.057029
510 1.322261 1.387615 1.560667 0.044551 0.050797 0.057029
520 1.322261 1.364285 1.552293 0.044551 0.051375 0.057029
530 1.322261 1.342317 1.541640 0.044551 0.051417 0.057029
540 1.322261 1.331081 1.356123 0.044551 0.051749 0.057029
550 1.322258 1.328220 1.343530 0.044551 0.051665 0.057029
560 1.322258 1.326584 1.338756 0.048372 0.051939 0.057029
570 1.322258 1.325366 1.333533 0.048372 0.052089 0.057029
580 1.321275 1.324609 1.329452 0.049270 0.052173 0.057029
590 1.321275 1.324152 1.326910 0.049495 0.052131 0.057029
600 1.321275 1.323802 1.326505 0.049495 0.051773 0.051952
610 1.321275 1.323561 1.323845 0.051878 0.051943 0.051952
620 1.321275 1.323477 1.323845 0.051878 0.051941 0.051952
630 1.321275 1.323381 1.323843 0.051878 0.051938 0.051952
640 1.321275 1.323361 1.323843 0.051878 0.051938 0.051952
650 1.321275 1.323278 1.323843 0.051878 0.051935 0.051952
660 1.321275 1.323156 1.323843 0.051878 0.051932 0.051952
670 1.321275 1.322996 1.323843 0.051878 0.051927 0.051952
680 1.321275 1.322790 1.323843 0.051878 0.051921 0.051952
690 1.321275 1.322559 1.323843 0.051878 0.051915 0.051952
700 1.321275 1.322312 1.323843 0.051878 0.051907 0.051952
710 1.321275 1.322055 1.323843 0.051878 0.051900 0.051952
720 1.321275 1.321838 1.322859 0.051878 0.051894 0.051929
730 1.321275 1.321679 1.322859 0.051878 0.051888 0.051929
740 1.321275 1.321521 1.322261 0.051878 0.051883 0.051901
750 1.321275 1.321422 1.322261 0.051878 0.051881 0.051901
760 1.321275 1.321324 1.322258 0.051878 0.051879 0.051901
770 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
780 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
790 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
800 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
810 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
820 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
830 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
840 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
850 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
860 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
870 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
880 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
890 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
900 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
910 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
920 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
930 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
940 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
950 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
960 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
970 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
980 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
990 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1000 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1010 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1020 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1030 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1040 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1050 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1060 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1070 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1080 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1090 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1100 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1110 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1120 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1130 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1140 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1150 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1160 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1170 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1180 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1190 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1200 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1210 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1220 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1230 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1240 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1250 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1260 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1270 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1280 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1290 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1300 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1310 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1320 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1330 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1340 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1350 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1360 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1370 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1380 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1390 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1400 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1410 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1420 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1430 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1440 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1450 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1460 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1470 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1480 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1490 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1500 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1510 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1520 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1530 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1540 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1550 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1560 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1570 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1580 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1590 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1600 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1610 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1620 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1630 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1640 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1650 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1660 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1670 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1680 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1690 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1700 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1710 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1720 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1730 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1740 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1750 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1760 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1770 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1780 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1790 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1800 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1810 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1820 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1830 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1840 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1850 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1860 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
1870 1.321275 1.321275 1.321275 0.051878 0.051878 0.051878
