# generation power_min power_avg power_max util_min util_avg util_max
1 66.544984 66.544984 66.544984 1.352775 1.439510 1.499825
10 66.544984 66.544984 66.544984 1.242725 1.425713 1.499825
20 66.544984 66.544984 66.544984 1.239700 1.409083 1.499825
30 66.544984 66.544984 66.544984 1.231500 1.393343 1.499825
40 66.544984 66.544984 66.544984 1.224700 1.377181 1.486125
50 66.544984 66.544984 66.544984 1.211725 1.356951 1.484050
60 65.664125 65.664125 65.664125 1.189675 1.340870 1.484050
70 65.664125 65.664125 65.664125 1.189675 1.322858 1.451100
80 65.664125 65.664125 65.664125 1.189675 1.305894 1.451100
90 65.664125 65.664125 65.664125 1.184600 1.288446 1.435100
100 65.664125 65.664125 65.664125 1.184600 1.271404 1.384700
110 65.664125 65.664125 65.664125 1.184600 1.254493 1.379100
120 65.516170 65.516170 65.516170 1.179700 1.239697 1.343375
130 65.208714 65.208714 65.208714 1.174625 1.227337 1.314775
140 65.208714 65.208714 65.208714 1.174625 1.218048 1.314775
150 65.208714 65.208714 65.208714 1.174625 1.209330 1.255075
160 65.034906 65.034906 65.034906 1.166625 1.202936 1.246925
170 65.034906 65.034906 65.034906 1.164650 1.196760 1.234650
180 64.836593 64.836593 64.836593 1.159600 1.191863 1.227450
190 64.695149 64.695149 64.695149 1.157800 1.188051 1.211725
200 64.643318 64.643318 64.643318 1.157800 1.184137 1.210075
210 64.643318 64.643318 64.643318 1.152775 1.180216 1.199725
220 64.426097 64.426097 64.426097 1.152775 1.177683 1.199725
230 64.273529 64.273529 64.273529 1.152775 1.175006 1.199725
240 64.273529 64.273529 64.273529 1.152775 1.171628 1.199725
250 64.273529 64.273529 64.273529 1.152775 1.168439 1.189700
260 64.273529 64.273529 64.273529 1.152775 1.166035 1.181925
270 64.273529 64.273529 64.273529 1.152775 1.164346 1.181925
280 64.273529 64.273529 64.273529 1.152775 1.162481 1.181600
290 64.273529 64.273529 64.273529 1.152775 1.160519 1.175100
300 64.165223 64.165223 64.165223 1.152775 1.159929 1.170075
310 64.165223 64.165223 64.165223 1.152775 1.159403 1.166550
320 63.714210 63.714210 63.714210 1.154675 1.159211 1.164700
330 63.714210 63.714210 63.714210 1.154675 1.158902 1.162200
340 63.714210 63.714210 63.714210 1.154675 1.158703 1.162200
350 63.714210 63.714210 63.714210 1.154675 1.158412 1.162200
360 63.496988 63.496988 63.496988 1.154700 1.158272 1.162200
370 63.496988 63.496988 63.496988 1.154700 1.157775 1.161975
380 63.496988 63.496988 63.496988 1.154700 1.157596 1.161975
390 63.447488 63.447488 63.447488 1.154700 1.157413 1.161975
400 63.447488 63.447488 63.447488 1.154700 1.157596 1.161975
410 63.230266 63.230266 63.230266 1.154725 1.157349 1.161975
420 63.230266 63.230266 63.230266 1.154725 1.156873 1.161600
430 63.230266 63.230266 63.230266 1.154725 1.156373 1.161600
440 63.230266 63.230266 63.230266 1.154725 1.156225 1.156600
450 63.230266 63.230266 63.230266 1.154725 1.156412 1.156600
460 62.946976 62.946976 62.946976 1.156600 1.156600 1.156600
470 62.946976 62.946976 62.946976 1.156600 1.156600 1.156600
480 62.946976 62.946976 62.946976 1.156600 1.156600 1.156600
490 62.946976 62.946976 62.946976 1.156600 1.156600 1.156600
500 62.946976 62.946976 62.946976 1.156600 1.156600 1.156600
510 62.946976 62.946976 62.946976 1.156600 1.156600 1.156600
520 62.946976 62.946976 62.946976 1.156600 1.156600 1.156600
530 62.946976 62.946976 62.946976 1.156600 1.156600 1.156600
540 62.946976 62.946976 62.946976 1.156600 1.156600 1.156600
550 62.946976 62.946976 62.946976 1.156600 1.156600 1.156600
