# generation power_min power_avg power_max util_min util_avg util_max
1 66.971566 66.971566 66.971566 1.207725 1.292949 1.377750
10 66.414112 66.414112 66.414112 1.207725 1.282651 1.340925
20 66.090140 66.090140 66.090140 1.206550 1.273148 1.339700
30 66.090140 66.090140 66.090140 1.194650 1.263892 1.319650
40 66.090140 66.090140 66.090140 1.182750 1.255499 1.311575
50 65.653365 65.653365 65.653365 1.182750 1.247273 1.298425
60 65.653365 65.653365 65.653365 1.179625 1.238783 1.291600
70 65.531271 65.531271 65.531271 1.179625 1.231074 1.281575
80 65.531271 65.531271 65.531271 1.169625 1.223236 1.272850
90 65.092229 65.092229 65.092229 1.169625 1.215586 1.256575
100 65.037034 65.037034 65.037034 1.169625 1.208913 1.254650
110 65.037034 65.037034 65.037034 1.166575 1.202419 1.239650
120 64.970261 64.970261 64.970261 1.166575 1.197115 1.238425
130 64.815427 64.815427 64.815427 1.163450 1.191886 1.228475
140 64.815427 64.815427 64.815427 1.159650 1.187368 1.221575
150 64.364413 64.364413 64.364413 1.157800 1.183094 1.209650
160 64.228415 64.228415 64.228415 1.157800 1.179421 1.201575
170 64.228415 64.228415 64.228415 1.157800 1.176775 1.201575
180 64.228415 64.228415 64.228415 1.157800 1.173731 1.191575
190 64.011193 64.011193 64.011193 1.157800 1.172014 1.186575
200 63.980529 63.980529 63.980529 1.157800 1.170485 1.186550
210 63.980529 63.980529 63.980529 1.157800 1.169340 1.178425
220 63.980529 63.980529 63.980529 1.157800 1.168890 1.178425
230 63.806154 63.806154 63.806154 1.157800 1.168358 1.178425
240 63.806154 63.806154 63.806154 1.157800 1.167431 1.173450
250 63.806154 63.806154 63.806154 1.157800 1.166678 1.173475
260 63.806154 63.806154 63.806154 1.156600 1.165764 1.173475
270 63.522864 63.522864 63.522864 1.156600 1.165110 1.173475
280 63.371711 63.371711 63.371711 1.156600 1.164332 1.173475
290 63.371711 63.371711 63.371711 1.156600 1.163785 1.173475
300 63.371711 63.371711 63.371711 1.156600 1.163118 1.173475
310 63.371711 63.371711 63.371711 1.156600 1.162296 1.173475
320 62.946976 62.946976 62.946976 1.156600 1.161809 1.168475
330 62.946976 62.946976 62.946976 1.156600 1.161437 1.168475
340 62.946976 62.946976 62.946976 1.156600 1.161052 1.168475
350 62.946976 62.946976 62.946976 1.156600 1.160617 1.168475
360 62.946976 62.946976 62.946976 1.156600 1.160119 1.163475
370 62.946976 62.946976 62.946976 1.156600 1.159769 1.163475
380 62.946976 62.946976 62.946976 1.156600 1.159381 1.163475
390 62.946976 62.946976 62.946976 1.156600 1.158881 1.163475
400 62.946976 62.946976 62.946976 1.156600 1.158381 1.163475
410 62.946976 62.946976 62.946976 1.156600 1.158156 1.158475
420 62.946976 62.946976 62.946976 1.156600 1.158344 1.158475
430 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
440 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
450 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
460 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
470 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
480 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
490 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
500 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
510 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
520 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
530 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
540 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
550 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
560 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
570 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
580 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
590 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
600 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
610 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
620 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
630 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
640 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
650 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
660 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
670 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
680 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
690 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
700 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
710 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
720 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
730 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
740 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
750 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
760 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
770 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
780 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
790 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
800 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
810 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
820 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
830 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
840 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
850 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
860 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
870 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
880 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
890 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
900 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
910 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
920 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
930 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
940 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
950 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
960 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
970 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
980 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
990 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
1000 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
1010 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
1020 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
1030 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
1040 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
1050 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
1060 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
1070 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
1080 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
1090 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
1100 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
1110 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
1120 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
1130 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
1140 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
1150 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
1160 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
1170 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
1180 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
1190 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
1200 62.663685 62.663685 62.663685 1.158475 1.158475 1.158475
