# generation power_min power_avg power_max util_min util_avg util_max
1 10.863547 15.474715 66.736966 0.467970 1.361299 1.497875
10 7.703557 15.494194 66.736966 0.377998 1.325261 1.497875
20 7.692166 15.952155 66.736966 0.377998 1.270202 1.495225
30 6.144677 16.266876 65.751354 0.149853 1.228754 1.495225
40 5.023288 15.686163 65.511509 0.083830 1.169759 1.487429
50 5.023288 15.596699 65.511509 0.083830 1.097826 1.487429
60 5.023288 15.095205 65.511509 0.083830 1.027818 1.487429
70 5.023288 13.900530 65.323144 0.083830 0.944632 1.487429
80 4.152435 12.962594 65.323144 0.083830 0.846984 1.487429
90 4.152435 12.209121 32.102590 0.083830 0.756115 1.476467
100 4.152435 11.805038 26.692107 0.073991 0.677305 1.476467
110 4.152435 11.004902 23.421178 0.073991 0.592622 1.214657
120 4.039689 9.271537 22.355165 0.073991 0.532204 1.214657
130 4.039689 7.913358 17.991731 0.073991 0.498186 1.214657
140 4.039689 7.200959 15.591142 0.073991 0.435405 1.214657
150 4.039689 6.336395 12.910673 0.069894 0.388772 1.024208
160 3.920097 5.663866 9.391922 0.069894 0.356741 0.907045
170 3.809592 5.195381 8.008452 0.069894 0.332077 0.907045
180 3.534042 4.825702 7.119909 0.069894 0.333357 0.555831
190 3.364623 4.563197 6.144677 0.055639 0.338731 0.555831
200 3.364623 4.379103 5.378958 0.055639 0.345211 0.575361
210 3.200563 4.210132 5.180255 0.055639 0.355834 0.575361
220 3.200563 4.069620 4.848310 0.055639 0.359358 0.575361
230 2.692050 3.924413 4.645573 0.031093 0.342482 0.575361
240 2.692050 3.797324 4.438242 0.031093 0.345489 0.575361
250 2.607436 3.665092 4.291539 0.025203 0.334709 0.575361
260 2.210791 3.507885 4.194907 0.024702 0.313284 0.575361
270 2.210791 3.388112 4.101085 0.024702 0.309237 0.575361
280 2.170405 3.257899 3.927316 0.024702 0.277045 0.551161
290 2.170405 3.140070 3.825103 0.024702 0.256637 0.544952
300 2.024606 2.996207 3.744538 0.024503 0.229309 0.544952
310 1.922374 2.867599 3.600179 0.024503 0.210144 0.544952
320 1.615252 2.749320 3.480701 0.024503 0.182357 0.543283
330 1.615252 2.606286 3.287391 0.024503 0.158975 0.543283
340 1.615252 2.503120 3.200563 0.024503 0.135388 0.524480
350 1.615252 2.388006 2.981698 0.024503 0.114209 0.524480
360 1.579868 2.283573 2.856893 0.024503 0.091347 0.398136
370 1.579868 2.200824 2.749720 0.024503 0.078326 0.398136
380 1.579868 2.102806 2.607436 0.023277 0.065737 0.342446
390 1.579868 2.025575 2.549183 0.023277 0.059392 0.342446
400 1.428826 1.942082 2.417989 0.023277 0.047004 0.239070
410 1.428826 1.867084 2.360744 0.023277 0.046850 0.239070
420 1.428826 1.798866 2.172747 0.023277 0.044377 0.238697
430 1.297814 1.735186 2.157322 0.023277 0.042595 0.181060
440 1.284467 1.666456 2.120951 0.023277 0.043559 0.181060
450 1.284467 1.613726 1.923558 0.023277 0.041854 0.115633
460 1.277950 1.566185 1.816231 0.023277 0.039262 0.114149
470 1.246283 1.534973 1.640074 0.023277 0.038958 0.114149
480 1.245396 1.515642 1.630448 0.024752 0.039766 0.114149
490 1.245396 1.490892 1.623229 0.024752 0.042221 0.116472
500 1.232824 1.456730 1.615252 0.025128 0.043968 0.116472
510 1.216699 1.421523 1.602024 0.025976 0.044974 0.116472
520 1.216699 1.389378 1.579291 0.025976 0.045246 0.116472
530 1.216699 1.358116 1.569353 0.025976 0.045200 0.116472
540 1.216699 1.328449 1.558665 0.025976 0.045064 0.116472
550 1.216699 1.297776 1.554417 0.025976 0.045200 0.116472
560 1.216699 1.273766 1.397960 0.025976 0.042061 0.116472
570 1.214821 1.261189 1.324898 0.025976 0.038109 0.046891
580 1.198714 1.253122 1.289318 0.026676 0.039211 0.046891
590 1.198714 1.247596 1.279963 0.032837 0.039977 0.046891
600 1.198714 1.241265 1.275744 0.032837 0.040676 0.047615
610 1.198696 1.235973 1.265710 0.033585 0.041446 0.047615
620 1.198696 1.232652 1.258974 0.035251 0.041976 0.047615
630 1.198115 1.227623 1.253609 0.035251 0.042541 0.047615
640 1.198115 1.223420 1.246106 0.036460 0.043058 0.047615
650 1.197015 1.219222 1.241821 0.036460 0.043546 0.047615
660 1.196594 1.215352 1.240393 0.036460 0.043758 0.048115
670 1.196594 1.211994 1.232824 0.039940 0.044209 0.048115
680 1.196594 1.208544 1.227411 0.039940 0.044606 0.048115
690 1.195986 1.205852 1.224688 0.041316 0.044806 0.048115
700 1.195986 1.203231 1.218397 0.041316 0.044685 0.048115
710 1.195565 1.201364 1.214821 0.041316 0.044822 0.048115
720 1.195546 1.200036 1.207928 0.043006 0.045046 0.048115
730 1.195546 1.198928 1.206703 0.043006 0.044964 0.048115
740 1.191354 1.197963 1.205807 0.043006 0.045081 0.045772
750 1.191354 1.197360 1.198714 0.043536 0.045144 0.045772
760 1.191336 1.197065 1.198696 0.043536 0.045102 0.045772
770 1.191336 1.196735 1.198696 0.043536 0.045094 0.045772
