# generation power_min power_avg power_max util_min util_avg util_max
1 16.185220 16.977871 17.648119 0.287700 0.323411 0.359625
100 16.185220 16.313766 16.584034 0.289600 0.299218 0.319625
200 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
300 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
400 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
500 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
600 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
700 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
800 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
900 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
1000 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
1100 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
1200 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
1300 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
1400 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
1500 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
1600 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
1700 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
1800 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
1900 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
2000 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
2100 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
2200 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
2300 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
2400 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
2500 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
2600 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
2700 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
2800 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
2900 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
3000 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
3100 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
3200 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
3300 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
3400 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
3500 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
3600 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
3700 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
3800 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
3900 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
4000 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
4100 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
4200 16.185220 16.185220 16.185220 0.294625 0.294625 0.294625
