# generation power_min power_avg power_max util_min util_avg util_max
1 29.742134 29.742134 29.742134 0.920316 1.331860 1.499725
100 31.558105 27.265296 31.558105 0.675406 0.984819 1.181497
200 25.392906 24.735168 25.392906 0.901350 0.966838 1.041368
300 24.355657 24.150275 24.355657 0.940918 0.990585 1.041418
400 23.690636 23.585220 23.690636 0.980657 1.000162 1.002161
500 23.452048 23.452048 23.452048 1.000638 1.000682 1.000912
600 23.436606 23.436606 23.436606 1.000643 1.000644 1.000644
700 23.436606 23.436606 23.436606 1.000643 1.000644 1.000644
800 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
900 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
1000 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
1100 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
1200 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
1300 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
1400 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
1500 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
1600 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
1700 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
1800 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
1900 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
2000 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
2100 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
2200 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
2300 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
2400 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
2500 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
2600 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
2700 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
2800 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
2900 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
3000 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
3100 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
3200 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
3300 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
3400 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
3500 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
3600 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
3700 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
3800 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
3900 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
4000 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
4100 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
4200 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
4300 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
4400 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
4500 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
4600 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
4700 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
4800 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
4900 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
5000 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
5100 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
5200 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
5300 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
5400 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
5500 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
5600 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
5700 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
5800 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
5900 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
6000 23.436491 23.436491 23.436491 1.000643 1.000643 1.000643
