# generation power_min power_avg power_max util_min util_avg util_max
1 27.290498 27.290498 27.290498 1.108000 1.381369 1.499000
100 29.891519 28.023440 29.891519 0.741200 1.048171 1.304300
200 26.820472 25.757136 26.820472 0.903600 0.998226 1.043900
300 25.460157 25.459763 25.460157 0.983200 0.998562 1.003700
400 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
500 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
600 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
700 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
800 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
900 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
1000 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
1100 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
1200 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
1300 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
1400 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
1500 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
1600 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
1700 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
1800 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
1900 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
2000 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
2100 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
2200 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
2300 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
2400 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
2500 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
2600 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
2700 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
2800 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
2900 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
3000 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
3100 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
3200 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
3300 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
3400 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
3500 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
3600 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
3700 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
3800 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
3900 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
4000 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
4100 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
4200 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
4300 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
4400 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
4500 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
4600 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
4700 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
4800 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
4900 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
5000 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
5100 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
5200 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
5300 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
5400 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
5500 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
5600 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
5700 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
5800 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
5900 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
6000 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
6100 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
6200 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
6300 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
6400 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
6500 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
6600 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
6700 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
6800 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
6900 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
7000 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
7100 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
7200 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
7300 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
7400 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
7500 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
7600 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
7700 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
7800 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
7900 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
8000 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
8100 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
8200 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
8300 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
8400 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
8500 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
8600 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
8700 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
8800 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
8900 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
9000 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
9100 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
9200 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
9300 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
9400 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
9500 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
9600 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
9700 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
9800 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
9900 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
10000 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
10100 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
10200 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
10300 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
10400 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
10500 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
10600 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
10700 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
10800 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
10900 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
11000 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
11100 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
11200 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
11300 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
11400 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
11500 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
11600 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
11700 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
11800 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
11900 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
12000 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
12100 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
12200 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
12300 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
12400 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
12500 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
12600 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
12700 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
12800 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
12900 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
13000 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
13100 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
13200 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
13300 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
13400 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
13500 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
13600 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
13700 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
13800 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
13900 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
14000 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
14100 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
14200 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
14300 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
14400 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
14500 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
14600 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
14700 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
14800 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
14900 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
15000 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
15100 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
15200 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
15300 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
15400 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
15500 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
15600 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
15700 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
15800 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
15900 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
16000 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
16100 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
16200 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
16300 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
16400 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
16500 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
16600 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
16700 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
16800 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
16900 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
17000 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
17100 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
17200 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
17300 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
17400 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
17500 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
17600 25.121309 25.121309 25.121309 1.003000 1.003000 1.003000
