# generation power_min power_avg power_max util_min util_avg util_max
1 5.741452 18.812198 32.435161 0.003924 0.279855 0.567706
100 5.736540 7.377709 12.581094 0.003824 0.038404 0.150312
200 5.736540 5.737129 5.741452 0.003824 0.003836 0.003924
300 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
400 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
500 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
600 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
700 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
800 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
900 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
1000 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
1100 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
1200 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
1300 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
1400 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
1500 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
1600 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
1700 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
1800 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
1900 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
2000 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
2100 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
2200 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
2300 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
2400 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
2500 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
2600 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
2700 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
2800 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
2900 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
3000 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
3100 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
3200 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
3300 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
3400 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
3500 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
3600 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
3700 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
3800 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
3900 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
4000 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
4100 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
4200 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
4300 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
4400 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
4500 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
4600 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
4700 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
4800 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
4900 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
5000 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
5100 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
5200 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
5300 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
5400 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
5500 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
5600 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
5700 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
5800 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
5900 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
6000 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
6100 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
6200 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
6300 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
6400 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
6500 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
6600 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
6700 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
6800 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
6900 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
7000 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
7100 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
7200 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
7300 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
7400 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
7500 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
7600 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
7700 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
7800 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
7900 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
8000 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
8100 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
8200 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
8300 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
8400 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
8500 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
8600 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
8700 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
8800 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
8900 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
9000 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
9100 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
9200 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
9300 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
9400 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
9500 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
9600 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
9700 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
9800 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
9900 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
10000 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
10100 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
10200 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
10300 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
10400 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
10500 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
10600 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
10700 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
10800 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
10900 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
11000 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
11100 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
11200 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
11300 5.736540 5.736540 5.736540 0.003824 0.003824 0.003824
