Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.5 CPU_Frequency_0.25 CPU_Frequency_0.125
0.1 CO-DMO-CT 1.79 .12 .28 1.34 .16 .84 14.00 13.00 38.00 35.00 
0.1 CO-DMO 1.93 .12 .29 1.44 .18 .83 10.00 15.00 38.00 37.00 
0.1 Offloading 3.47 .02 2.01 1.26 .19 .81 100.00 0 0 0 
0.1 DVS 4.02 .57 2.27 1.74 0 0 8.00 17.00 37.00 38.00 
0.1 Baseline 7.67 .11 5.94 1.73 0 0 100.00 0 0 0 
0.2 CO-DMO-CT 2.62 .36 .85 1.39 .36 .77 10.00 18.00 34.00 38.00 
0.2 CO-DMO 3.14 .37 .87 1.94 .32 .77 17.00 21.00 31.00 31.00 
0.2 Offloading 5.28 .04 3.10 1.81 .37 .82 100.00 0 0 0 
0.2 DVS 6.81 1.00 5.06 1.74 0 0 7.00 25.00 42.00 26.00 
0.2 Baseline 13.27 .25 12.18 1.08 0 0 100.00 0 0 0 
0.3 CO-DMO-CT 3.64 .58 1.35 1.79 .49 .75 14.00 14.00 34.00 38.00 
0.3 CO-DMO 3.10 .32 .68 1.83 .58 .88 14.00 18.00 38.00 30.00 
0.3 Offloading 6.23 .04 3.15 2.42 .64 .88 100.00 0 0 0 
0.3 DVS 12.51 .99 10.57 1.93 0 0 17.00 46.00 30.00 7.00 
0.3 Baseline 18.86 .36 17.38 1.47 0 0 100.00 0 0 0 
0.4 CO-DMO-CT 3.84 .60 1.44 1.69 .70 .81 13.00 13.00 34.00 40.00 
0.4 CO-DMO 3.69 .60 1.04 1.93 .71 .82 9.00 18.00 32.00 41.00 
0.4 Offloading 7.86 .08 4.78 2.29 .78 .84 100.00 0 0 0 
0.4 DVS 19.58 .99 16.11 3.47 0 0 37.00 42.00 19.00 2.00 
0.4 Baseline 24.48 .48 22.90 1.57 0 0 100.00 0 0 0 
0.5 CO-DMO-CT 5.23 .87 1.98 2.26 .98 .77 12.00 19.00 32.00 37.00 
0.5 CO-DMO 4.72 .66 1.55 2.17 .99 .84 17.00 15.00 33.00 35.00 
0.5 Offloading 7.65 .07 4.55 2.14 .95 .89 100.00 0 0 0 
0.5 DVS 26.64 .99 23.63 3.01 0 0 65.00 19.00 16.00 0 
0.5 Baseline 30.13 .62 28.75 1.38 0 0 100.00 0 0 0 
0.6 CO-DMO-CT 5.35 .61 1.73 2.51 1.10 .85 17.00 19.00 34.00 30.00 
0.6 CO-DMO 4.62 .71 1.69 1.75 1.17 .86 9.00 20.00 31.00 40.00 
0.6 Offloading 10.79 .12 6.90 2.73 1.16 .83 100.00 0 0 0 
0.6 DVS 32.76 .99 29.13 3.63 0 0 69.00 25.00 6.00 0 
0.6 Baseline 35.65 .73 33.98 1.67 0 0 100.00 0 0 0 
0.7 CO-DMO-CT 6.55 .87 2.81 2.53 1.20 .82 19.00 26.00 26.00 29.00 
0.7 CO-DMO 5.93 .82 1.79 2.62 1.51 .85 16.00 22.00 27.00 35.00 
0.7 Offloading 10.20 .10 5.80 3.10 1.29 .88 100.00 0 0 0 
0.7 DVS 39.38 .99 35.24 4.14 0 0 78.00 20.00 2.00 0 
0.7 Baseline 41.36 .87 39.95 1.41 0 0 100.00 0 0 0 
0.8 CO-DMO-CT 5.65 .68 1.84 2.10 1.69 .89 26.00 19.00 27.00 28.00 
0.8 CO-DMO 8.58 .68 3.70 3.37 1.50 .83 23.00 30.00 33.00 14.00 
0.8 Offloading 10.25 .10 5.91 2.81 1.52 .90 100.00 0 0 0 
0.8 DVS 48.40 .99 44.15 4.25 0 0 95.00 5.00 0 0 
0.8 Baseline 46.53 .96 44.54 1.99 0 0 100.00 0 0 0 
0.9 CO-DMO-CT 11.15 .97 6.50 3.01 1.62 .77 30.00 23.00 24.00 23.00 
0.9 CO-DMO 12.13 .93 7.63 2.97 1.53 .74 34.00 28.00 21.00 17.00 
0.9 Offloading 12.54 .16 8.23 2.29 2.01 .86 100.00 0 0 0 
0.9 DVS 55.57 1.00 48.70 6.87 0 0 100.00 0 0 0 
0.9 Baseline 55.74 1.00 48.86 6.88 0 0 100.00 0 0 0 
